Facility Name,Charge Description,CPT/HCPCS,Price,Min,Max,Aetna,Aetna Medicare Advantage,BCBS,Blue Home,Cash Discount,Cigna,First Health,Humana,Humana Medicare Advantage,MedCost PPO,MedCost Ultra,Tricare,United Healthcare,United Healthcare Medicare Advantage,WellCare Medicare Advantage
"Caldwell UNC Health Care","HC ARTERIAL CATHETER PLACEMENT","36620","$15.00","$6.98","$45.42","$9.30","$15.00","$9.38","$6.98","$9.00","$15.00","$10.65","$12.00","$15.00","$9.09","$9.90","$10.50","$8.10","$15.00","$45.42"
"Caldwell UNC Health Care","HC TRACH TUBE EXCHANGE RESPIRATORY","31502","$380.00","$163.71","$304.00","$235.60","$202.65","$229.18","$170.51","$228.00","$245.86","$269.80","$304.00","$208.16","$230.28","$250.80","$163.71","$205.20","$189.82","$196.45"
"Caldwell UNC Health Care","HC DIRECT LARYNGOSCOPY","31575","$369.00","$53.00","$295.20","$228.78","$148.11","$223.76","$166.46","$221.40","$53.00","$261.99","$295.20","$151.01","$223.61","$243.54","$123.42","$199.26","$145.93","$148.11"
"Caldwell UNC Health Care","HC DIALYSIS TRANSFUSION BLD/BLD COMPONENTS","36430","$543.00","$235.61","$434.40","$336.66","$367.11","$316.68","$235.61","$325.80","$351.32","$385.53","$434.40","$374.31","$329.06","$358.38","$305.93","$293.22","$361.71","$367.11"
"Caldwell UNC Health Care","HC INTUBATION","31500","$220.00","$95.46","$176.00","$136.40","$145.51","$128.30","$95.46","$132.00","$142.34","$156.20","$176.00","$148.37","$133.32","$145.20","$121.26","$118.80","$143.37","$145.51"
"Caldwell UNC Health Care","HC NEBULIZER TREATMENT","94640","$119.00","$51.63","$174.04","$73.78","$119.00","$69.40","$51.63","$71.40","$76.99","$84.49","$95.20","$119.00","$72.11","$78.54","$83.30","$64.26","$119.00","$174.04"
"Caldwell UNC Health Care","HC MDI METRD DOSE INHAL","94640","$119.00","$51.63","$174.04","$73.78","$119.00","$69.40","$51.63","$71.40","$76.99","$84.49","$95.20","$119.00","$72.11","$78.54","$83.30","$64.26","$119.00","$174.04"
"Caldwell UNC Health Care","HC CHEST PHYSICAL THERAPY INITIAL","94667","$119.00","$51.63","$112.65","$73.78","$109.31","$69.40","$51.63","$71.40","$76.99","$84.49","$95.20","$110.63","$72.11","$78.54","$83.30","$64.26","$101.63","$112.65"
"Caldwell UNC Health Care","HC TREATMENT W ACT THERAPY INITIAL","94667","$119.00","$51.63","$112.65","$73.78","$109.31","$69.40","$51.63","$71.40","$76.99","$84.49","$95.20","$110.63","$72.11","$78.54","$83.30","$64.26","$101.63","$112.65"
"Caldwell UNC Health Care","HC CHEST PHYSICAL THERAPY SUBSEQUENT","94668","$143.00","$27.20","$114.40","$88.66","$109.31","$83.40","$62.05","$85.80","$92.52","$101.53","$114.40","$110.63","$86.66","$94.38","$90.42","$77.22","$27.20","$108.50"
"Caldwell UNC Health Care","HC TREATMENT W ACT THERAPY SUBSEQUENT","94668","$143.00","$27.20","$114.40","$88.66","$109.31","$83.40","$62.05","$85.80","$92.52","$101.53","$114.40","$110.63","$86.66","$94.38","$90.42","$77.22","$27.20","$108.50"
"Caldwell UNC Health Care","HC INCENTIVE SPIROMETRY SUPPLY","","$133.00","$32.32","$106.40","$82.46","$32.32","$80.76","$60.08","$79.80","$86.05","$94.43","$106.40","$0.00","$80.60","$70.49","$0.00","$71.82","$0.00","$0.00"
"Caldwell UNC Health Care","HC SPUTUM COLLECTION","94640","$119.00","$51.63","$174.04","$73.78","$119.00","$69.40","$51.63","$71.40","$76.99","$84.49","$95.20","$119.00","$72.11","$78.54","$83.30","$64.26","$119.00","$174.04"
"Caldwell UNC Health Care","HC NEONATAL VENTILATOR INITIAL","94002","$368.00","$159.68","$462.28","$228.16","$368.00","$214.62","$159.68","$220.80","$238.10","$261.28","$294.40","$368.00","$223.01","$242.88","$257.60","$198.72","$368.00","$462.28"
"Caldwell UNC Health Care","HC PEDIATRIC VENT INITIAL","94002","$566.00","$245.59","$471.34","$350.92","$462.28","$330.09","$245.59","$339.60","$366.20","$401.86","$452.80","$471.34","$343.00","$373.56","$385.23","$305.64","$433.02","$462.28"
"Caldwell UNC Health Care","HC ADULT VENTILATOR INITIAL","94002","$368.00","$159.68","$462.28","$228.16","$368.00","$214.62","$159.68","$220.80","$238.10","$261.28","$294.40","$368.00","$223.01","$242.88","$257.60","$198.72","$368.00","$462.28"
"Caldwell UNC Health Care","HC ADULT VENTILATOR(SUBSEQ)","94003","$267.00","$115.85","$465.72","$165.54","$267.00","$155.71","$115.85","$160.20","$172.75","$189.57","$213.60","$267.00","$161.80","$176.22","$186.90","$144.18","$267.00","$465.72"
"Caldwell UNC Health Care","HC AEROSOL TREATMENT","94640","$119.00","$51.63","$174.04","$73.78","$119.00","$69.40","$51.63","$71.40","$76.99","$84.49","$95.20","$119.00","$72.11","$78.54","$83.30","$64.26","$119.00","$174.04"
"Caldwell UNC Health Care","HC BIPAP/CPAP","94660","$91.00","$39.48","$174.04","$56.42","$91.00","$53.07","$39.48","$54.60","$58.88","$64.61","$72.80","$91.00","$55.15","$60.06","$63.70","$49.14","$91.00","$174.04"
"Caldwell UNC Health Care","HC BIPAP/CPAP SUBSEQUENT","94660","$91.00","$39.48","$174.04","$56.42","$91.00","$53.07","$39.48","$54.60","$58.88","$64.61","$72.80","$91.00","$55.15","$60.06","$63.70","$49.14","$91.00","$174.04"
"Caldwell UNC Health Care","HC PATIENT DEMO/EVALUATION OF NEBULIZER/INHALER/IPPB DEVICE","94664","$55.00","$23.86","$174.04","$34.10","$55.00","$32.08","$23.86","$33.00","$35.59","$39.05","$44.00","$55.00","$33.33","$36.30","$38.50","$29.70","$55.00","$174.04"
"Caldwell UNC Health Care","HC PT BIOFEEDBACK TRAIN ANY MODALITY","90901","$258.00","$16.90","$206.40","$159.96","$20.28","$156.45","$116.38","$154.80","$100.00","$183.18","$206.40","$20.68","$156.35","$103.20","$16.90","$114.00","$19.98","$20.28"
"Caldwell UNC Health Care","HC PT HOT OR COLD PACK APPLICATION","97010","$123.00","$29.89","$114.00","$76.26","$29.89","$61.65","$45.88","$73.80","$100.00","$87.33","$98.40","$0.00","$74.54","$49.20","$0.00","$114.00","$0.00","$0.00"
"Caldwell UNC Health Care","HC PT TRACTION MECHANICAL","97012","$123.00","$12.75","$114.00","$76.26","$15.30","$61.65","$45.88","$73.80","$100.00","$87.33","$98.40","$15.60","$74.54","$49.20","$12.75","$114.00","$15.08","$15.30"
"Caldwell UNC Health Care","HC PT E STIM ATTENDED 15MIN","97032","$78.00","$12.47","$78.00","$48.36","$14.96","$39.09","$29.09","$46.80","$78.00","$55.38","$62.40","$15.26","$47.27","$31.20","$12.47","$78.00","$14.74","$14.96"
"Caldwell UNC Health Care","HC PT THERAPEUTIC EXERCISE 15MIN","97110","$99.00","$25.68","$99.00","$61.38","$30.81","$49.62","$36.93","$59.40","$99.00","$70.29","$79.20","$31.42","$59.99","$39.60","$25.68","$99.00","$30.36","$30.81"
"Caldwell UNC Health Care","HC PT NEUROMUSC RE EDUCATION 15MIN","97112","$99.00","$29.50","$99.00","$61.38","$35.39","$49.62","$36.93","$59.40","$99.00","$70.29","$79.20","$36.09","$59.99","$39.60","$29.50","$99.00","$34.87","$35.39"
"Caldwell UNC Health Care","HC PT GAIT TRAINING 15MIN","97116","$99.00","$25.40","$99.00","$61.38","$30.48","$49.62","$36.93","$59.40","$99.00","$70.29","$79.20","$31.08","$59.99","$39.60","$25.40","$99.00","$30.03","$30.48"
"Caldwell UNC Health Care","HC PT MANUAL THERAPY TECHNIQ 15MIN","97140","$99.00","$23.64","$99.00","$61.38","$28.37","$49.62","$36.93","$59.40","$99.00","$70.29","$79.20","$28.92","$59.99","$39.60","$23.64","$99.00","$27.95","$28.37"
"Caldwell UNC Health Care","HC PT THERAPEUTIC ACTIVITIES 15MIN","97530","$39.00","$14.55","$39.35","$24.18","$39.00","$19.55","$14.55","$23.40","$39.00","$27.69","$31.20","$39.00","$23.63","$15.60","$27.30","$39.00","$38.77","$39.35"
"Caldwell UNC Health Care","HC PT WHEELCHAIR MGMNT 15MIN","97542","$123.00","$27.74","$114.00","$76.26","$33.29","$61.65","$45.88","$73.80","$100.00","$87.33","$98.40","$33.95","$74.54","$49.20","$27.74","$114.00","$32.80","$33.29"
"Caldwell UNC Health Care","HC PT PHY PERF TEST MEAS 15MIN","97750","$31.00","$11.56","$31.62","$19.22","$31.00","$15.54","$11.56","$18.60","$31.00","$22.01","$24.80","$31.00","$18.79","$12.40","$21.70","$31.00","$31.16","$31.62"
"Caldwell UNC Health Care","HC PT E STIM UNATTENDED","G0283","$123.00","$11.46","$114.00","$76.26","$13.75","$61.65","$45.88","$73.80","$100.00","$87.33","$98.40","$14.02","$74.54","$49.20","$11.46","$114.00","$13.55","$13.75"
"Caldwell UNC Health Care","HC PT IONTOPHORESIS 15MIN","97033","$105.00","$17.34","$105.00","$65.10","$20.81","$52.63","$39.17","$63.00","$100.00","$74.55","$84.00","$21.22","$63.63","$42.00","$17.34","$105.00","$20.50","$20.81"
"Caldwell UNC Health Care","HC PT ULTRASOUND 15MIN","97035","$99.00","$12.10","$99.00","$61.38","$14.51","$49.62","$36.93","$59.40","$99.00","$70.29","$79.20","$14.80","$59.99","$39.60","$12.10","$99.00","$14.30","$14.51"
"Caldwell UNC Health Care","HC PT AQUATIC TX W THERAPEUTIC EX 15 MIN","97113","$99.00","$32.31","$99.00","$61.38","$38.77","$49.62","$36.93","$59.40","$99.00","$70.29","$79.20","$39.53","$59.99","$39.60","$32.31","$99.00","$38.20","$38.77"
"Caldwell UNC Health Care","HC PT GROUP THERAPY PROCEDURE","97150","$99.00","$15.40","$99.00","$61.38","$18.48","$49.62","$36.93","$59.40","$99.00","$70.29","$79.20","$18.84","$59.99","$39.60","$15.40","$99.00","$18.21","$18.48"
"Caldwell UNC Health Care","HC PT SELFCARE/HOME MGMT TRAINING 15 MIN","97535","$99.00","$28.53","$99.00","$61.38","$34.24","$49.62","$36.93","$59.40","$99.00","$70.29","$79.20","$34.91","$59.99","$39.60","$28.53","$99.00","$33.74","$34.24"
"Caldwell UNC Health Care","HC PT DEBRID OPEN WOUND 1ST 20 SQ CM OR LESS","97597","$701.00","$100.00","$560.80","$434.62","$165.31","$351.34","$261.47","$420.60","$100.00","$497.71","$560.80","$168.55","$424.81","$280.40","$137.76","$114.00","$162.88","$165.31"
"Caldwell UNC Health Care","HC PT DEBRID OPEN WOUND EA ADDL 20 SQ CM","97598","$331.00","$21.70","$264.80","$205.22","$26.04","$165.90","$123.46","$198.60","$100.00","$235.01","$264.80","$26.55","$200.59","$132.40","$21.70","$114.00","$25.66","$26.04"
"Caldwell UNC Health Care","HC PT STRAPPING KNEE","29530","$91.00","$16.01","$91.00","$56.42","$19.21","$45.61","$33.94","$54.60","$53.00","$64.61","$72.80","$19.58","$55.15","$36.40","$16.01","$91.00","$18.92","$19.21"
"Caldwell UNC Health Care","HC PT STRAPPING UNNA BOOT","29580","$248.00","$53.00","$198.40","$153.76","$126.53","$124.30","$92.50","$148.80","$53.00","$176.08","$198.40","$129.01","$150.29","$99.20","$105.44","$114.00","$124.67","$126.53"
"Caldwell UNC Health Care","HC PT NEG PRESS WOUND TX, < 50 CM","97605","$372.00","$100.00","$297.60","$230.64","$165.31","$186.45","$138.76","$223.20","$100.00","$264.12","$297.60","$168.55","$225.43","$148.80","$137.76","$114.00","$162.88","$165.31"
