Facility Name,Charge Description,CPT/HCPCS,Price,Min,Max,Aetna,Aetna Medicare Advantage,Aetna NC Preferred,BCBS,Cash Discount,Cigna,Cigna Connect Network,Cigna SureFit,First Health,Humana Medicare Advantage,Liberty Medicare Advantage,MedCost,TriCare,United Healthcare,United Healthcare Medicare Advantage,WellCare Medicare Advantage
"Nash General Hospital","HC DP   FLEX EXTENSION KNEE BRACE","L1845","$1,350.00","$283.50","$1,215.00","$783.00","$283.50","$675.00","$560.39","$810.00","$665.55","$406.35","$414.45","$1,215.00","$0.00","$0.00","$1,066.50","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC DP LSO POST RIGID PANEL PRE","L0630","$768.00","$161.28","$691.20","$445.44","$161.28","$384.00","$318.80","$460.80","$389.38","$231.17","$235.78","$691.20","$0.00","$0.00","$606.72","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC DP LSO SAG CORO RIGID FRAME PRE","L0631","$1,040.00","$218.40","$936.00","$603.20","$218.40","$520.00","$431.70","$624.00","$527.28","$313.04","$319.28","$936.00","$0.00","$0.00","$821.60","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC PREFAB AFO","L1930","$318.00","$95.72","$286.20","$184.44","$0.00","$159.00","$132.00","$190.80","$161.23","$95.72","$97.63","$286.20","$0.00","$0.00","$251.22","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC DP PREFAB POSTOP HO","L1686","$3,192.00","$960.79","$2,872.80","$1,851.36","$0.00","$1,596.00","$1,325.00","$1,915.20","$1,618.34","$960.79","$979.94","$2,872.80","$0.00","$0.00","$2,521.68","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC DP WHO W/O JOINTS CF","L3906","$486.00","$102.06","$437.40","$281.88","$102.06","$243.00","$201.74","$291.60","$246.40","$146.29","$149.20","$437.40","$0.00","$0.00","$383.94","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC EO W/O JOINTS CF","L3702","$324.00","$68.04","$291.60","$187.92","$68.04","$162.00","$134.49","$194.40","$164.27","$97.52","$99.47","$291.60","$0.00","$0.00","$255.96","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC FO W/O JOINTS CF","L3933","$259.00","$54.39","$233.10","$150.22","$54.39","$129.50","$107.51","$155.40","$131.31","$77.96","$79.51","$233.10","$0.00","$0.00","$204.61","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC HFO W/JOINT(S) CF","L3921","$388.00","$116.79","$349.20","$225.04","$0.00","$194.00","$161.06","$232.80","$196.72","$116.79","$119.12","$349.20","$0.00","$0.00","$306.52","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC ST PASSY MUIR COMMUNICATION DEV","L8501","$587.00","$123.27","$528.30","$340.46","$123.27","$293.50","$243.66","$352.20","$297.61","$176.69","$180.21","$528.30","$0.00","$0.00","$463.73","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC WHFO W/JOINT(S)","L3806","$518.00","$108.78","$466.20","$300.44","$108.78","$259.00","$215.02","$310.80","$262.63","$155.92","$159.03","$466.20","$0.00","$0.00","$409.22","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC FINGER SPRING EXT SPLINT","L3925","$305.00","$64.05","$274.50","$176.90","$64.05","$152.50","$126.61","$183.00","$154.64","$91.81","$93.64","$274.50","$0.00","$0.00","$240.95","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC DP STATIC AFO","L4396","$680.00","$204.68","$612.00","$394.40","$0.00","$340.00","$282.27","$408.00","$344.76","$204.68","$208.76","$612.00","$0.00","$0.00","$537.20","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC ANKLE AIR BRACE MULTISIZE","L4350","$141.00","$29.61","$126.90","$81.78","$29.61","$70.50","$58.53","$84.60","$71.49","$42.44","$43.29","$126.90","$0.00","$0.00","$111.39","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC ANKLE CANVAS BRACE","L1902","$129.00","$27.09","$116.10","$74.82","$27.09","$64.50","$53.55","$77.40","$65.40","$38.83","$39.60","$116.10","$0.00","$0.00","$101.91","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC ANKLE FOOT HM ORTHOSIS","L1930","$318.00","$95.72","$286.20","$184.44","$0.00","$159.00","$132.00","$190.80","$161.23","$95.72","$97.63","$286.20","$0.00","$0.00","$251.22","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC CHAIRBACK BRACE 10 INCH","L0637","$1,380.00","$415.38","$1,242.00","$800.40","$0.00","$690.00","$572.84","$828.00","$699.66","$415.38","$423.66","$1,242.00","$0.00","$0.00","$1,090.20","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC CHAIRBACK BRACE 8 INCH","L0637","$1,380.00","$415.38","$1,242.00","$800.40","$0.00","$690.00","$572.84","$828.00","$699.66","$415.38","$423.66","$1,242.00","$0.00","$0.00","$1,090.20","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC CHAIRBACK BRACE CORSET","L0630","$768.00","$161.28","$691.20","$445.44","$161.28","$384.00","$318.80","$460.80","$389.38","$231.17","$235.78","$691.20","$0.00","$0.00","$606.72","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC CLAVICLE BRACE MULTISIZE","L3650","$84.00","$17.64","$75.60","$48.72","$17.64","$42.00","$34.87","$50.40","$42.59","$25.28","$25.79","$75.60","$0.00","$0.00","$66.36","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC ELBOW ORTHO W/O JOINTS CF","L3702","$324.00","$68.04","$291.60","$187.92","$68.04","$162.00","$134.49","$194.40","$164.27","$97.52","$99.47","$291.60","$0.00","$0.00","$255.96","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC ELBOW ORTHO ELASTIC W METAL PF","L3710","$181.00","$54.48","$162.90","$104.98","$0.00","$90.50","$75.13","$108.60","$91.77","$54.48","$55.57","$162.90","$0.00","$0.00","$142.99","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC FEMUR FRACTURE BRACE","L2134","$2,405.00","$723.91","$2,164.50","$1,394.90","$0.00","$1,202.50","$998.32","$1,443.00","$1,219.34","$723.91","$738.34","$2,164.50","$0.00","$0.00","$1,899.95","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC FINGER ORTHOTIC W/O JOINTS CF","L3933","$259.00","$54.39","$233.10","$150.22","$54.39","$129.50","$107.51","$155.40","$131.31","$77.96","$79.51","$233.10","$0.00","$0.00","$204.61","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC HAND FINGER ORTHO W/JOINT(S) PF","L3921","$388.00","$116.79","$349.20","$225.04","$0.00","$194.00","$161.06","$232.80","$196.72","$116.79","$119.12","$349.20","$0.00","$0.00","$306.52","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC HAND FINGER ORTHO W/O JOINTS PF","L3923","$405.00","$85.05","$364.50","$234.90","$85.05","$202.50","$168.12","$243.00","$205.34","$121.91","$124.34","$364.50","$0.00","$0.00","$319.95","$0.00","$0.00","$0.00","$0.00"
"Nash General Hospital","HC HAND ORTHO W/O JOINTS CF","L3919","$324.00","$68.04","$291.60","$187.92","$68.04","$162.00","$134.49","$194.40","$164.27","$97.52","$99.47","$291.60","$0.00","$0.00","$255.96","$0.00","$0.00","$0.00","$0.00"
