Facility Name,Charge Description,CPT/HCPCS,Price,Min,Max,Aetna,Aetna Medicare Advantage,BCBS,Cash Discount,Cigna,First Health,Humana Medicare Advantage,Liberty Medicare Advantage,MedCost,TriCare,United Healthcare,United Healthcare Medicare Advantage,WellCare Medicare Advantage
"Pardee Hospital","HC PRDH OBSERVATION CARE - W & C IN ED","G0378","$35.00","$15.96","$29.05","$20.30","$0.00","$18.33","$21.00","$15.96","$29.05","$0.00","$0.00","$19.53","$0.00","$26.85","$0.00","$0.00"
"Pardee Hospital","HC PRDH OBSERVATION CARE - PCU IN ED","G0378","$51.00","$23.26","$42.33","$29.58","$0.00","$26.71","$30.60","$23.26","$42.33","$0.00","$0.00","$28.46","$0.00","$39.12","$0.00","$0.00"
"Pardee Hospital","HC PRDH OBSERVATION CARE - ICU  IN ED","G0378","$99.00","$45.14","$82.17","$57.42","$0.00","$51.85","$59.40","$45.14","$82.17","$0.00","$0.00","$55.24","$0.00","$75.93","$0.00","$0.00"
"Pardee Hospital","HC PRDH OBSERVATION CARE - PATHS IN ED","G0378","$50.00","$22.80","$41.50","$29.00","$0.00","$26.19","$30.00","$22.80","$41.50","$0.00","$0.00","$27.90","$0.00","$38.35","$0.00","$0.00"
"Pardee Hospital","HC HIGH FLOW OXYGEN THERAPY","","$656.00","$299.14","$544.48","$380.48","$0.00","$514.11","$393.60","$299.14","$544.48","$0.00","$0.00","$366.05","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC FIDUCIAL MARKER EACH","A4648","$586.00","$267.22","$486.38","$339.88","$0.00","$459.25","$351.60","$267.22","$486.38","$0.00","$0.00","$326.99","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC AMBULATORY BOOT","L3260","$70.00","$20.44","$58.10","$40.60","$20.44","$54.86","$42.00","$31.92","$58.10","$0.00","$0.00","$39.06","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC BOOT TOTAL CONTACT CAST LRG","","$533.00","$243.05","$442.39","$309.14","$0.00","$417.71","$319.80","$243.05","$442.39","$0.00","$0.00","$297.41","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC BREASTPUMP HARMONY MANUAL","","$126.00","$57.46","$104.58","$73.08","$0.00","$98.75","$75.60","$57.46","$104.58","$0.00","$0.00","$70.31","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC CAMISOLE POST MASTECTOMY","","$240.00","$109.44","$199.20","$139.20","$0.00","$188.09","$144.00","$109.44","$199.20","$0.00","$0.00","$133.92","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC CAST TOTAL CONTACT KIT","","$682.00","$310.99","$566.06","$395.56","$0.00","$534.48","$409.20","$310.99","$566.06","$0.00","$0.00","$380.56","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC FIXATION RING KIT","","$26.00","$11.86","$21.58","$15.08","$0.00","$20.38","$15.60","$11.86","$21.58","$0.00","$0.00","$14.51","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC BOOT TOTAL CONTACT CAST MED","","$447.00","$203.83","$371.01","$259.26","$0.00","$350.31","$268.20","$203.83","$371.01","$0.00","$0.00","$249.43","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC SPLINT WRIST/THUMB SML/MED","","$169.00","$77.06","$140.27","$98.02","$0.00","$132.45","$101.40","$77.06","$140.27","$0.00","$0.00","$94.30","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC SPLINT WRIST/THUMB MED/LRG","","$186.00","$84.82","$154.38","$107.88","$0.00","$145.77","$111.60","$84.82","$154.38","$0.00","$0.00","$103.79","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC BOOT CHARCOT","","$672.00","$306.43","$557.76","$389.76","$0.00","$526.65","$403.20","$306.43","$557.76","$0.00","$0.00","$374.98","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC SHOE ORTHO WEDGE","","$164.00","$74.78","$136.12","$95.12","$0.00","$128.53","$98.40","$74.78","$136.12","$0.00","$0.00","$91.51","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC WND COMPRESSION COBAN","","$74.00","$33.74","$61.42","$42.92","$0.00","$57.99","$44.40","$33.74","$61.42","$0.00","$0.00","$41.29","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC MASTECTOMY BREAST BINDER","","$200.00","$91.20","$166.00","$116.00","$0.00","$156.74","$120.00","$91.20","$166.00","$0.00","$0.00","$111.60","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC OXYGEN SET UP","","$94.00","$42.86","$78.02","$54.52","$0.00","$73.67","$56.40","$42.86","$78.02","$0.00","$0.00","$52.45","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC COMFORT GEL HYDROGEL PADS","","$56.00","$25.54","$46.48","$32.48","$0.00","$43.89","$33.60","$25.54","$46.48","$0.00","$0.00","$31.25","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC IS/VITAL CAP-DISPOSABLE SPIROM","","$51.00","$23.26","$42.33","$29.58","$0.00","$39.97","$30.60","$23.26","$42.33","$0.00","$0.00","$28.46","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC O2 CHARGE / 12 HOURS","","$86.00","$39.22","$71.38","$49.88","$0.00","$67.40","$51.60","$39.22","$71.38","$0.00","$0.00","$47.99","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC OXYHOOD SET-UP","","$48.00","$21.89","$39.84","$27.84","$0.00","$37.62","$28.80","$21.89","$39.84","$0.00","$0.00","$26.78","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC FLEXISEAL FECAL MGMT SYS BAG","","$38.00","$17.33","$31.54","$22.04","$0.00","$29.78","$22.80","$17.33","$31.54","$0.00","$0.00","$21.20","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC FLEXISEAL FECAL MGMT SYSTEM","","$764.00","$348.38","$634.12","$443.12","$0.00","$598.75","$458.40","$348.38","$634.12","$0.00","$0.00","$426.31","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC OCL CASTING SUPPLY","","$154.00","$70.22","$127.82","$89.32","$0.00","$120.69","$92.40","$70.22","$127.82","$0.00","$0.00","$85.93","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC BAKRI TAMPONADE BALLOON CATHETER","","$4,220.00","$1,924.32","$3,502.60","$2,447.60","$0.00","$3,307.21","$2,532.00","$1,924.32","$3,502.60","$0.00","$0.00","$2,354.76","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC ABVISER INTRAABD PRESS MONITOR","","$664.00","$302.78","$551.12","$385.12","$0.00","$520.38","$398.40","$302.78","$551.12","$0.00","$0.00","$370.51","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC ANASEPT GEL 3 OZ AMB","","$172.00","$78.43","$142.76","$99.76","$0.00","$134.80","$103.20","$78.43","$142.76","$0.00","$0.00","$95.98","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC BANDAGE COBAN 4IN","","$22.00","$10.03","$18.26","$12.76","$0.00","$17.24","$13.20","$10.03","$18.26","$0.00","$0.00","$12.28","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC CATHETER MIDLINE PG 20GA 8CM","","$329.00","$150.02","$273.07","$190.82","$0.00","$257.84","$197.40","$150.02","$273.07","$0.00","$0.00","$183.58","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC CATHETER NEUROTHERM","","$6,314.00","$2,879.18","$5,240.62","$3,662.12","$0.00","$4,948.28","$3,788.40","$2,879.18","$5,240.62","$0.00","$0.00","$3,523.21","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC CAVITY WOULD FILLER 3X3","","$53.00","$24.17","$43.99","$30.74","$0.00","$41.54","$31.80","$24.17","$43.99","$0.00","$0.00","$29.57","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC DRESS PRISMA MATRIX 28CM","","$59.00","$26.90","$48.97","$34.22","$0.00","$46.24","$35.40","$26.90","$48.97","$0.00","$0.00","$32.92","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC DRESSING ACTICOAT 7 4X5","","$112.00","$51.07","$92.96","$64.96","$0.00","$87.77","$67.20","$51.07","$92.96","$0.00","$0.00","$62.50","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC DRESSING AQUACELL AG EXTRA 4X5","","$60.00","$27.36","$49.80","$34.80","$0.00","$47.02","$36.00","$27.36","$49.80","$0.00","$0.00","$33.48","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC DRESSING CLOTH BACKED 4X5","","$41.00","$18.70","$34.03","$23.78","$0.00","$32.13","$24.60","$18.70","$34.03","$0.00","$0.00","$22.88","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC DRESSING EXU-DRY 6X9","","$21.00","$9.58","$17.43","$12.18","$0.00","$16.46","$12.60","$9.58","$17.43","$0.00","$0.00","$11.72","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC DRESSING HONEY COLLOID 4X5","","$58.00","$26.45","$48.14","$33.64","$0.00","$45.45","$34.80","$26.45","$48.14","$0.00","$0.00","$32.36","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC DRESSING HYDROFERA FOAM","","$43.00","$19.61","$35.69","$24.94","$0.00","$33.70","$25.80","$19.61","$35.69","$0.00","$0.00","$23.99","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC DRESSING ISLAND FILM 4X5","","$41.00","$18.70","$34.03","$23.78","$0.00","$32.13","$24.60","$18.70","$34.03","$0.00","$0.00","$22.88","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC DRESSING MEDIHONEY 2X2","","$39.00","$17.78","$32.37","$22.62","$0.00","$30.56","$23.40","$17.78","$32.37","$0.00","$0.00","$21.76","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC DRESSING MEPILEX 4 X 7.2 AG FM","","$59.00","$26.90","$48.97","$34.22","$0.00","$46.24","$35.40","$26.90","$48.97","$0.00","$0.00","$32.92","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC DRESSING MEPILEX AG FOAM 4X4","","$53.00","$24.17","$43.99","$30.74","$0.00","$41.54","$31.80","$24.17","$43.99","$0.00","$0.00","$29.57","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC DRESSING MEPILEX AG FOAM 6X6","","$36.00","$16.42","$29.88","$20.88","$0.00","$28.21","$21.60","$16.42","$29.88","$0.00","$0.00","$20.09","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC DRESSING MEPILEX SACRUM 9X9","","$71.00","$32.38","$58.93","$41.18","$0.00","$55.64","$42.60","$32.38","$58.93","$0.00","$0.00","$39.62","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC DRESSING MEPLILEX FOAM 4X4","","$39.00","$17.78","$32.37","$22.62","$0.00","$30.56","$23.40","$17.78","$32.37","$0.00","$0.00","$21.76","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC DRESSING POLYMEM 4 X 24","","$132.00","$60.19","$109.56","$76.56","$0.00","$103.45","$79.20","$60.19","$109.56","$0.00","$0.00","$73.66","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC DRESSING PROMOGRAN MATRIX WND","","$53.00","$24.17","$43.99","$30.74","$0.00","$41.54","$31.80","$24.17","$43.99","$0.00","$0.00","$29.57","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC DRESSING ROPE MELGISOR AG 3X44","","$53.00","$24.17","$43.99","$30.74","$0.00","$41.54","$31.80","$24.17","$43.99","$0.00","$0.00","$29.57","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC DRESSING ROPE SILVR WIC 0.4X14","","$53.00","$24.17","$43.99","$30.74","$0.00","$41.54","$31.80","$24.17","$43.99","$0.00","$0.00","$29.57","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC DRESSING SILVER POLYMEM 4X4","","$39.00","$17.78","$32.37","$22.62","$0.00","$30.56","$23.40","$17.78","$32.37","$0.00","$0.00","$21.76","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC DRESSING SILVER POYMEM 8X8","","$117.00","$53.35","$97.11","$67.86","$0.00","$91.69","$70.20","$53.35","$97.11","$0.00","$0.00","$65.29","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC DRESSING SILVERCEL 4.25 X 4.25","","$53.00","$24.17","$43.99","$30.74","$0.00","$41.54","$31.80","$24.17","$43.99","$0.00","$0.00","$29.57","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC DRESSING SUPER THICK 4.5X4.5","","$53.00","$24.17","$43.99","$30.74","$0.00","$41.54","$31.80","$24.17","$43.99","$0.00","$0.00","$29.57","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC DRESSING VISCOPASTE","","$53.00","$24.17","$43.99","$30.74","$0.00","$41.54","$31.80","$24.17","$43.99","$0.00","$0.00","$29.57","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC DRESSING XTRASORB 4X5","","$23.00","$10.49","$19.09","$13.34","$0.00","$18.03","$13.80","$10.49","$19.09","$0.00","$0.00","$12.83","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC EAR COUPLER - TAB SENSORS","","$89.00","$40.58","$73.87","$51.62","$0.00","$69.75","$53.40","$40.58","$73.87","$0.00","$0.00","$49.66","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC ELECTRODE DISPOSEABLE RFDE 10","","$515.00","$234.84","$427.45","$298.70","$0.00","$403.61","$309.00","$234.84","$427.45","$0.00","$0.00","$287.37","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC ELECTRODE DISPOSEABLE RFDE 15","","$515.00","$234.84","$427.45","$298.70","$0.00","$403.61","$309.00","$234.84","$427.45","$0.00","$0.00","$287.37","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC ENDOFORM DERMAL TEMPLATE 2X2","","$72.00","$32.83","$59.76","$41.76","$0.00","$56.43","$43.20","$32.83","$59.76","$0.00","$0.00","$40.18","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC FLUTTER MUCUS CLEAR DEVICE","","$389.00","$177.38","$322.87","$225.62","$0.00","$304.86","$233.40","$177.38","$322.87","$0.00","$0.00","$217.06","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC GEL NORMIGEL ISOTONIC SALINE","","$26.00","$11.86","$21.58","$15.08","$0.00","$20.38","$15.60","$11.86","$21.58","$0.00","$0.00","$14.51","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC IODOSORB GEL 10G","","$279.00","$127.22","$231.57","$161.82","$0.00","$218.65","$167.40","$127.22","$231.57","$0.00","$0.00","$155.68","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC ITRAUTERINE PRESSURE CATHETER","","$153.00","$69.77","$126.99","$88.74","$0.00","$119.91","$91.80","$69.77","$126.99","$0.00","$0.00","$85.37","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC PLEURX DRAINAGE SUPPLY","","$606.00","$276.34","$502.98","$351.48","$0.00","$474.92","$363.60","$276.34","$502.98","$0.00","$0.00","$338.15","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC LABOR DELIVERY C-SECTION PACK","","$686.00","$312.82","$569.38","$397.88","$0.00","$537.62","$411.60","$312.82","$569.38","$0.00","$0.00","$382.79","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC MB BILI MASK","","$18.00","$8.21","$14.94","$10.44","$0.00","$14.11","$10.80","$8.21","$14.94","$0.00","$0.00","$10.04","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC MB BREAST PUMP KANESON","","$37.00","$16.87","$30.71","$21.46","$0.00","$29.00","$22.20","$16.87","$30.71","$0.00","$0.00","$20.65","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC MB ELECTRODE FETAL COROMETRIC","","$53.00","$24.17","$43.99","$30.74","$0.00","$41.54","$31.80","$24.17","$43.99","$0.00","$0.00","$29.57","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC MB LOPEZ ENTERAL VALVE","","$22.00","$10.03","$18.26","$12.76","$0.00","$17.24","$13.20","$10.03","$18.26","$0.00","$0.00","$12.28","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC MB MECONIUM ASPIRATOR","","$12.00","$5.47","$9.96","$6.96","$0.00","$9.40","$7.20","$5.47","$9.96","$0.00","$0.00","$6.70","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC MB SUTURE","","$32.00","$14.59","$26.56","$18.56","$0.00","$25.08","$19.20","$14.59","$26.56","$0.00","$0.00","$17.86","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC MEDIHONEY GEL 1.5 OZ TUBE","","$77.00","$35.11","$63.91","$44.66","$0.00","$60.34","$46.20","$35.11","$63.91","$0.00","$0.00","$42.97","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC MYTIVAC ASSIST DELIVERY SYSTEM","","$30.00","$13.68","$24.90","$17.40","$0.00","$23.51","$18.00","$13.68","$24.90","$0.00","$0.00","$16.74","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC NEONATAL CIRCUIT T-PIECE","","$92.00","$41.95","$76.36","$53.36","$0.00","$72.10","$55.20","$41.95","$76.36","$0.00","$0.00","$51.34","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC NEOPUFF R. CIRCUIT","","$54.00","$24.62","$44.82","$31.32","$0.00","$42.32","$32.40","$24.62","$44.82","$0.00","$0.00","$30.13","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC O2 HUMIDIFIER W/STERILE WATER","","$17.00","$7.75","$14.11","$9.86","$0.00","$13.32","$10.20","$7.75","$14.11","$0.00","$0.00","$9.49","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC ORAL CARE KIT","","$115.00","$52.44","$95.45","$66.70","$0.00","$90.13","$69.00","$52.44","$95.45","$0.00","$0.00","$64.17","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC PATIENT CIRCUIT LOW FLOW ANEST","","$640.00","$291.84","$531.20","$371.20","$0.00","$501.57","$384.00","$291.84","$531.20","$0.00","$0.00","$357.12","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC PEAK FLOW METER","","$53.00","$24.17","$43.99","$30.74","$0.00","$41.54","$31.80","$24.17","$43.99","$0.00","$0.00","$29.57","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC PORTEX TRACH TUBE CUFFED","","$209.00","$95.30","$173.47","$121.22","$0.00","$163.79","$125.40","$95.30","$173.47","$0.00","$0.00","$116.62","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC POWER GLIDE 18GA 10CM FULL","","$329.00","$150.02","$273.07","$190.82","$0.00","$257.84","$197.40","$150.02","$273.07","$0.00","$0.00","$183.58","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC POWER GLIDE 20GA 10CM FULL","","$515.00","$234.84","$427.45","$298.70","$0.00","$403.61","$309.00","$234.84","$427.45","$0.00","$0.00","$287.37","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC POWER GLIDE 20GA 8CM FULL","","$515.00","$234.84","$427.45","$298.70","$0.00","$403.61","$309.00","$234.84","$427.45","$0.00","$0.00","$287.37","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC POWER GLIDE DRESSING CHG KIT","","$53.00","$24.17","$43.99","$30.74","$0.00","$41.54","$31.80","$24.17","$43.99","$0.00","$0.00","$29.57","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC POWERGLIDE 20GA 10CM BASIC KIT","","$329.00","$150.02","$273.07","$190.82","$0.00","$257.84","$197.40","$150.02","$273.07","$0.00","$0.00","$183.58","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC SECURA EXTRA PROTECTIVE OINTME","","$53.00","$24.17","$43.99","$30.74","$0.00","$41.54","$31.80","$24.17","$43.99","$0.00","$0.00","$29.57","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC SECURA PROTECTIVE OINTMENT","","$11.00","$5.02","$9.13","$6.38","$0.00","$8.62","$6.60","$5.02","$9.13","$0.00","$0.00","$6.14","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC SENSOR INFANT LNOP","","$74.00","$33.74","$61.42","$42.92","$0.00","$57.99","$44.40","$33.74","$61.42","$0.00","$0.00","$41.29","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC SOLOSITE WOUND GEL 3OZ","","$52.00","$23.71","$43.16","$30.16","$0.00","$40.75","$31.20","$23.71","$43.16","$0.00","$0.00","$29.02","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC C-14 UREA CAP","","$921.00","$419.98","$764.43","$534.18","$0.00","$721.79","$552.60","$419.98","$764.43","$0.00","$0.00","$513.92","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC TC-99M WBC COLLECTION KIT","","$431.00","$196.54","$357.73","$249.98","$0.00","$337.77","$258.60","$196.54","$357.73","$0.00","$0.00","$240.50","$0.00","$0.00","$0.00","$0.00"
"Pardee Hospital","HC PRD BREAST CLIP GELMARK","","$179.00","$81.62","$148.57","$103.82","$0.00","$140.28","$107.40","$81.62","$148.57","$0.00","$0.00","$99.88","$0.00","$0.00","$0.00","$0.00"
