Facility Name,Charge Description,CPT/HCPCS,Price,Min,Max,Aetna,Aetna Medicare Advantage,Anthem HMO,Anthem PPO,BCBS PPO/HMO/Blue Select/Blue Value/POS,Care N Care,Cash Discount,CIGNA,First Health,Humana,Humana Medicare Advantage,MedCost,UHC,UHC Medicare Advantage,Care N Care Note,UHC Note,Aetna Medicare Advantage Note,Anthem HMO Note,Anthem PPO Note,BCBS PPO/HMO/Blue Select/Blue Value/POS Note,Humana Medicare Advantage Note,UHC Medicare Advantage Note
"Rockingham Hospital"," MR MRA ABDOMEN W/O CM","C8901","$1,934.00","$186.43","$1,551.00","$1,448.57","$237.70","$1,062.35","$1,100.45","$1,002.01","$186.43","$1,160.40","$1,515.00","$1,448.57","$1,353.80","$233.04","$1,317.05","$1,551.00","$238.87","","","","","","","",""
"Rockingham Hospital"," SELF TAPPING SCREW","C1713","$113.00","$53.95","$84.64","$84.64","$0.00","$62.07","$64.30","$53.95","$0.00","$67.80","$67.91","$84.64","$79.10","$0.00","$76.95","","$0.00","","","","","","","",""
"Rockingham Hospital"," SCREW-BONE","C1713","$68.00","$32.46","$50.93","$50.93","$0.00","$37.35","$38.69","$32.46","$0.00","$40.80","$40.87","$50.93","$47.60","$0.00","$46.31","","$0.00","","","","","","","",""
"Rockingham Hospital"," S-D-SORB MENISCAL STAPLER","C1713","$3,200.00","$1,527.68","$2,396.80","$2,396.80","$0.00","$1,757.76","$1,820.80","$1,527.68","$0.00","$1,920.00","$1,923.20","$2,396.80","$2,240.00","$0.00","$2,179.20","","$0.00","","","","","","","",""
"Rockingham Hospital"," TIGHTROPE XP IMPLANT","C1713","$2,100.00","$1,002.54","$1,572.90","$1,572.90","$0.00","$1,153.53","$1,194.90","$1,002.54","$0.00","$1,260.00","$1,262.10","$1,572.90","$1,470.00","$0.00","$1,430.10","","$0.00","","","","","","","",""
"Rockingham Hospital"," HGB","85018","$34.00","$1.90","$25.47","$25.47","$2.42","$18.68","$19.35","$17.30","$1.90","$20.40","$20.43","$25.47","$23.80","$2.37","$23.15","$3.39","$2.43","","","","","","","",""
"Rockingham Hospital"," ER SREP S-N-A-G-TR-E 2.6-7.5CM","12002","$644.00","$139.78","$482.36","$482.36","$178.22","$353.75","$366.44","$361.09","$139.78","$386.40","$387.04","$482.36","$450.80","$174.73","$438.56","","$179.10","","","","","","","",""
"Rockingham Hospital"," ER S REP F-E-N-L-MM 2.6-5 CM","12013","$456.00","$139.78","$341.54","$341.54","$178.22","$250.48","$259.46","$255.68","$139.78","$273.60","$274.06","$341.54","$319.20","$174.73","$310.54","","$179.10","","","","","","","",""
"Rockingham Hospital"," GASTRIC MUCOSA IMAGING","78261","$1,017.00","$294.50","$761.73","$761.73","$375.49","$558.64","$578.67","$581.32","$294.50","$610.20","$611.22","$761.73","$711.90","$368.13","$692.58","$711.90","$377.33","","","","","","","",""
"Rockingham Hospital"," H.PYLORI STOOL ANTIGEN","87338","$309.00","$11.50","$231.44","$231.44","$14.67","$169.73","$175.82","$157.22","$11.50","$185.40","$185.71","$231.44","$216.30","$14.38","$210.43","$20.60","$14.74","","","","","","","",""
"Rockingham Hospital"," MICROALBUMIN URINE","82043","$74.00","$8.29","$55.43","$55.43","$0.00","$40.65","$42.11","$37.65","$0.00","$44.40","$44.47","$55.43","$51.80","$0.00","$50.39","$8.29","$0.00","","","","","","","",""
"Rockingham Hospital"," MICROALBUMIN","82043","$119.00","$8.29","$89.13","$89.13","$0.00","$65.37","$67.71","$60.55","$0.00","$71.40","$71.52","$89.13","$83.30","$0.00","$81.04","$8.29","$0.00","","","","","","","",""
"Rockingham Hospital"," LAB:  MICRO ALBUMIN - URINE","82043","$33.00","$8.29","$24.72","$24.72","$0.00","$18.13","$18.78","$16.79","$0.00","$19.80","$19.83","$24.72","$23.10","$0.00","$22.47","$8.29","$0.00","","","","","","","",""
"Rockingham Hospital"," VITAMIN B1 PLASMA","84425","$191.00","$30.41","$143.06","$143.06","$0.00","$104.92","$108.68","$97.18","$0.00","$114.60","$114.79","$143.06","$133.70","$0.00","$130.07","$30.41","$0.00","","","","","","","",""
"Rockingham Hospital"," MYCOPLASMA PNEUMONIAE","86738","$104.00","$10.59","$77.90","$77.90","$13.50","$57.13","$59.18","$52.92","$10.59","$62.40","$62.50","$77.90","$72.80","$13.24","$70.82","$18.97","$13.57","","","","","","","",""
"Rockingham Hospital"," MYCOPLASMA PNEUMONIA IGM","86738","$104.00","$10.59","$77.90","$77.90","$13.50","$57.13","$59.18","$52.92","$10.59","$62.40","$62.50","$77.90","$72.80","$13.24","$70.82","$18.97","$13.57","","","","","","","",""
"Rockingham Hospital"," ER SREP S-N-A-G-TR-E 12.6-20CM","12005","$644.00","$255.61","$482.36","$482.36","$325.90","$353.75","$366.44","$361.09","$255.61","$386.40","$387.04","$482.36","$450.80","$319.51","$438.56","","$327.50","","","","","","","",""
"Rockingham Hospital"," FERRITIN SERUM REF","82728","$98.00","$19.51","$73.40","$73.40","$0.00","$53.83","$55.76","$49.86","$0.00","$58.80","$58.90","$73.40","$68.60","$0.00","$66.74","$19.51","$0.00","","","","","","","",""
"Rockingham Hospital"," C-PEPTIDE","84681","$184.00","$16.65","$137.82","$137.82","$21.23","$101.07","$104.70","$93.62","$16.65","$110.40","$110.58","$137.82","$128.80","$20.81","$125.30","$29.80","$21.33","","","","","","","",""
"Rockingham Hospital"," C-PEPTIDE","84681","$94.00","$29.80","$70.41","$70.41","$0.00","$51.63","$53.49","$47.83","$0.00","$56.40","$56.49","$70.41","$65.80","$0.00","$64.01","$29.80","$0.00","","","","","","","",""
"Rockingham Hospital"," DIRECT COOMBS","86880","$86.00","$7.70","$64.41","$64.41","$34.10","$47.24","$48.93","$43.76","$26.74","$51.60","$51.69","$64.41","$60.20","$33.43","$58.57","$7.70","$34.27","","","","","","","",""
"Rockingham Hospital"," DIRECT COOMBS-REFERENCE LAB","86880","$70.00","$7.70","$52.43","$52.43","$34.10","$38.45","$39.83","$35.62","$26.74","$42.00","$42.07","$52.43","$49.00","$33.43","$47.67","$7.70","$34.27","","","","","","","",""
"Rockingham Hospital"," COLD AGGLUTININ TITER","86157","$80.00","$6.45","$59.92","$59.92","$8.22","$43.94","$45.52","$40.70","$6.45","$48.00","$48.08","$59.92","$56.00","$8.06","$54.48","$11.55","$8.26","","","","","","","",""
"Rockingham Hospital"," ALBUMIN CSF","82042","$58.00","$7.41","$43.44","$43.44","$0.00","$31.86","$33.00","$29.51","$0.00","$34.80","$34.86","$43.44","$40.60","$0.00","$39.50","$7.41","$0.00","","","","","","","",""
"Rockingham Hospital"," LEVETIRACETAM","80177","$223.00","$18.09","$167.03","$167.03","$0.00","$122.49","$126.89","$113.46","$0.00","$133.80","$134.02","$167.03","$156.10","$0.00","$151.86","$18.09","$0.00","","","","","","","",""
"Rockingham Hospital"," ER DISTAL RADIOULNAR DISLOC","25675","$369.00","$172.51","$276.38","$276.38","$219.95","$202.69","$209.96","$206.90","$172.51","$221.40","$221.77","$276.38","$258.30","$215.64","$251.29","","$221.03","","","","","","","",""
"Rockingham Hospital"," OLIGOCLONAL IMMUNOGLOBULIN","83916","$77.00","$28.80","$57.67","$57.67","$0.00","$42.30","$43.81","$39.18","$0.00","$46.20","$46.28","$57.67","$53.90","$0.00","$52.44","$28.80","$0.00","","","","","","","",""
"Rockingham Hospital"," OLIGOCLONAL BAND","83916","$77.00","$28.80","$57.67","$57.67","$0.00","$42.30","$43.81","$39.18","$0.00","$46.20","$46.28","$57.67","$53.90","$0.00","$52.44","$28.80","$0.00","","","","","","","",""
"Rockingham Hospital"," ED TREAT SHOULDER DISLOCATION","23665","$1,223.00","$671.79","$1,389.27","$916.03","$1,382.50","$671.79","$695.89","$685.74","$1,084.31","$733.80","$735.02","$916.03","$856.10","$1,355.39","$832.86","","$1,389.27","","","","","","","",""
"Rockingham Hospital"," PROTEIN IMMUNOELECTROPHORESIS","86320","$255.00","$23.94","$191.00","$191.00","$30.52","$140.07","$145.09","$129.74","$23.94","$153.00","$153.25","$191.00","$178.50","$29.92","$173.66","$32.10","$30.67","","","","","","","",""
"Rockingham Hospital"," ED TX HUMERUS FRACTURE","24505","$332.00","$182.37","$1,389.27","$248.67","$1,382.50","$182.37","$188.91","$186.15","$1,084.31","$199.20","$199.53","$248.67","$232.40","$1,355.39","$226.09","","$1,389.27","","","","","","","",""
"Rockingham Hospital"," MR LUMBAR SPINE W/ CM","72149","$3,158.00","$305.48","$2,365.34","$2,365.34","$389.49","$1,734.69","$1,796.90","$1,636.16","$305.48","$1,894.80","$1,515.00","$2,365.34","$2,210.60","$381.85","$2,150.60","$1,551.00","$391.40","","","","","","","",""
"Rockingham Hospital"," TRICHROME STAIN","87209","$72.00","$14.38","$53.93","$53.93","$18.34","$39.55","$40.97","$36.63","$14.38","$43.20","$43.27","$53.93","$50.40","$17.98","$49.03","$25.74","$18.43","","","","","","","",""
"Rockingham Hospital"," ED DISTAL PHALANGEAL FRACTURE","26755","$354.00","$172.51","$265.15","$265.15","$219.95","$194.45","$201.43","$198.49","$172.51","$212.40","$212.75","$265.15","$247.80","$215.64","$241.07","","$221.03","","","","","","","",""
"Rockingham Hospital"," CT ANKLE*L* W/CM","73701","$1,658.00","$801.81","$1,241.84","$1,241.84","$0.00","$910.74","$943.40","$801.81","$0.00","$994.80","$909.00","$1,241.84","$1,160.60","$0.00","$1,129.10","$943.00","$0.00","","","","","","","",""
"Rockingham Hospital"," CT ANKLE*R* W/CM","73701","$1,658.00","$801.81","$1,241.84","$1,241.84","$0.00","$910.74","$943.40","$801.81","$0.00","$994.80","$909.00","$1,241.84","$1,160.60","$0.00","$1,129.10","$943.00","$0.00","","","","","","","",""
"Rockingham Hospital"," CT CALF*L* W/CM","73701","$1,658.00","$801.81","$1,241.84","$1,241.84","$0.00","$910.74","$943.40","$801.81","$0.00","$994.80","$909.00","$1,241.84","$1,160.60","$0.00","$1,129.10","$943.00","$0.00","","","","","","","",""
"Rockingham Hospital"," CT CALF*R* W/CM","73701","$1,658.00","$801.81","$1,241.84","$1,241.84","$0.00","$910.74","$943.40","$801.81","$0.00","$994.80","$909.00","$1,241.84","$1,160.60","$0.00","$1,129.10","$943.00","$0.00","","","","","","","",""
"Rockingham Hospital"," CT FOOT*L* W/CM","73701","$1,489.00","$720.08","$1,115.26","$1,115.26","$0.00","$817.91","$847.24","$720.08","$0.00","$893.40","$909.00","$1,115.26","$1,042.30","$0.00","$1,014.01","$943.00","$0.00","","","","","","","",""
"Rockingham Hospital"," CT FOOT*R* W/CM","73701","$1,489.00","$720.08","$1,115.26","$1,115.26","$0.00","$817.91","$847.24","$720.08","$0.00","$893.40","$909.00","$1,115.26","$1,042.30","$0.00","$1,014.01","$943.00","$0.00","","","","","","","",""
"Rockingham Hospital"," CT KNEE*L* W/CM","73701","$1,489.00","$720.08","$1,115.26","$1,115.26","$0.00","$817.91","$847.24","$720.08","$0.00","$893.40","$909.00","$1,115.26","$1,042.30","$0.00","$1,014.01","$943.00","$0.00","","","","","","","",""
"Rockingham Hospital"," CT KNEE*R* W/CM","73701","$1,489.00","$720.08","$1,115.26","$1,115.26","$0.00","$817.91","$847.24","$720.08","$0.00","$893.40","$909.00","$1,115.26","$1,042.30","$0.00","$1,014.01","$943.00","$0.00","","","","","","","",""
"Rockingham Hospital"," CT THIGH*L* W/CM","73701","$1,489.00","$720.08","$1,115.26","$1,115.26","$0.00","$817.91","$847.24","$720.08","$0.00","$893.40","$909.00","$1,115.26","$1,042.30","$0.00","$1,014.01","$943.00","$0.00","","","","","","","",""
"Rockingham Hospital"," CT THIGH*R* W/CM","73701","$1,489.00","$720.08","$1,115.26","$1,115.26","$0.00","$817.91","$847.24","$720.08","$0.00","$893.40","$909.00","$1,115.26","$1,042.30","$0.00","$1,014.01","$943.00","$0.00","","","","","","","",""
"Rockingham Hospital"," CT TOES*L* W/CM","73701","$1,489.00","$720.08","$1,115.26","$1,115.26","$0.00","$817.91","$847.24","$720.08","$0.00","$893.40","$909.00","$1,115.26","$1,042.30","$0.00","$1,014.01","$943.00","$0.00","","","","","","","",""
"Rockingham Hospital"," CT TOES*R* W/CM","73701","$1,489.00","$720.08","$1,115.26","$1,115.26","$0.00","$817.91","$847.24","$720.08","$0.00","$893.40","$909.00","$1,115.26","$1,042.30","$0.00","$1,014.01","$943.00","$0.00","","","","","","","",""
"Rockingham Hospital"," CT HIP*L* W/CM","73701","$1,502.00","$726.37","$1,125.00","$1,125.00","$0.00","$825.05","$854.64","$726.37","$0.00","$901.20","$909.00","$1,125.00","$1,051.40","$0.00","$1,022.86","$943.00","$0.00","","","","","","","",""
"Rockingham Hospital"," CT HIP*R* W/CM","73701","$1,502.00","$726.37","$1,125.00","$1,125.00","$0.00","$825.05","$854.64","$726.37","$0.00","$901.20","$909.00","$1,125.00","$1,051.40","$0.00","$1,022.86","$943.00","$0.00","","","","","","","",""
"Rockingham Hospital"," CT EXTREM LOW W/ CM *L*","73701","$1,489.00","$720.08","$1,115.26","$1,115.26","$0.00","$817.91","$847.24","$720.08","$0.00","$893.40","$909.00","$1,115.26","$1,042.30","$0.00","$1,014.01","$943.00","$0.00","","","","","","","",""
"Rockingham Hospital"," CT EXTREM LOW W/ CM *R*","73701","$1,658.00","$801.81","$1,241.84","$1,241.84","$0.00","$910.74","$943.40","$801.81","$0.00","$994.80","$909.00","$1,241.84","$1,160.60","$0.00","$1,129.10","$943.00","$0.00","","","","","","","",""
"Rockingham Hospital"," US OB UMBILICAL ART DOPPLER","76820","$331.00","$89.66","$247.92","$247.92","$114.32","$181.82","$188.34","$147.39","$89.66","$198.60","$198.93","$247.92","$231.70","$112.08","$225.41","$231.70","$114.88","","","","","","","",""
"Rockingham Hospital"," 37X28 CM RECT MESH","C1781","$7,445.00","$3,554.24","$5,576.31","$5,576.31","$0.00","$4,089.54","$4,236.20","$3,554.24","$0.00","$4,467.00","$4,474.44","$5,576.31","$5,211.50","$0.00","$5,070.05","","$0.00","","","","","","","",""
"Rockingham Hospital"," DG THORA SPINE W/SWIMMERS 3V","72072","$375.00","$89.66","$280.88","$280.88","$114.32","$205.99","$213.37","$247.46","$89.66","$225.00","$225.38","$280.88","$262.50","$112.08","$255.38","$262.50","$114.88","","","","","","","",""
"Rockingham Hospital"," ACETONE SERUM-QUANTITATIVE","82010","$88.00","$6.54","$65.91","$65.91","$8.33","$48.34","$50.07","$44.77","$6.54","$52.80","$52.89","$65.91","$61.60","$8.17","$59.93","$11.71","$8.37","","","","","","","",""
"Rockingham Hospital"," DG BONE SURVEY PED/INFANT","77076","$471.00","$89.66","$352.78","$352.78","$114.32","$258.72","$268.00","$310.81","$89.66","$282.60","$283.07","$352.78","$329.70","$112.08","$320.75","$329.70","$114.88","","","","","","","",""
"Rockingham Hospital"," ED WOUND CLOSURE 20.1-30 CM","12036","$557.00","$305.96","$509.45","$417.19","$506.96","$305.96","$316.93","$312.31","$397.62","$334.20","$334.76","$417.19","$389.90","$497.02","$379.32","","$509.45","","","","","","","",""
"Rockingham Hospital"," CAROTENE","82380","$115.00","$13.21","$86.14","$86.14","$0.00","$63.17","$65.43","$58.51","$0.00","$69.00","$69.11","$86.14","$80.50","$0.00","$78.32","$13.21","$0.00","","","","","","","",""
"Rockingham Hospital"," ED TREAT FINGER FRACTURE","26725","$467.00","$172.51","$349.78","$349.78","$219.95","$256.52","$265.72","$261.85","$172.51","$280.20","$280.67","$349.78","$326.90","$215.64","$318.03","","$221.03","","","","","","","",""
"Rockingham Hospital"," MR LUMBAR SPINE W/O CM","72148","$2,677.00","$186.43","$2,005.07","$2,005.07","$237.70","$1,470.48","$1,523.21","$1,386.95","$186.43","$1,606.20","$1,515.00","$2,005.07","$1,873.90","$233.04","$1,823.04","$1,551.00","$238.87","","","","","","","",""
"Rockingham Hospital"," ED PHARYNX ADENOIDS & TONSILS","42999","$286.00","$157.10","$214.21","$214.21","$207.71","$157.10","$162.73","$160.36","$162.91","$171.60","$171.89","$214.21","$200.20","$203.64","$194.77","","$208.73","","","","","","","",""
"Rockingham Hospital"," IBD TEST 5","86671","$69.00","$17.56","$51.68","$51.68","$0.00","$37.90","$39.26","$35.11","$0.00","$41.40","$41.47","$51.68","$48.30","$0.00","$46.99","$17.56","$0.00","","","","","","","",""
"Rockingham Hospital"," AB FUNGUS NES 1","86671","$200.00","$9.80","$149.80","$149.80","$12.50","$109.86","$113.80","$101.76","$9.80","$120.00","$120.20","$149.80","$140.00","$12.25","$136.20","$17.56","$12.56","","","","","","","",""
"Rockingham Hospital"," AB FUNGUS NES II","86671","$201.00","$9.80","$150.55","$150.55","$12.50","$110.41","$114.37","$102.27","$9.80","$120.60","$120.80","$150.55","$140.70","$12.25","$136.88","$17.56","$12.56","","","","","","","",""
"Rockingham Hospital"," MPL GENE ANALYSIS","81403","$650.00","$148.16","$486.85","$486.85","$188.90","$357.05","$369.85","$463.25","$148.16","$390.00","$390.65","$486.85","$455.00","$185.20","$442.65","$185.20","$189.83","","","","","","","",""
"Rockingham Hospital"," COOMBS INDIRECT TITER","86886","$170.00","$7.41","$147.09","$127.33","$146.37","$93.38","$96.73","$86.50","$114.80","$102.00","$102.17","$127.33","$119.00","$143.50","$115.77","$7.41","$147.09","","","","","","","",""
"Rockingham Hospital"," MUTATION ID BY SEQUENCING","83904","$139.00","$70.72","$104.11","$104.11","$0.00","$76.35","$79.09","$70.72","$0.00","$83.40","$83.54","$104.11","$97.30","$0.00","$94.66","","$0.00","","","","","","","",""
"Rockingham Hospital"," MUTATION ID BY SEQ/2ND SEG","83904","$164.00","$83.44","$122.84","$122.84","$0.00","$90.09","$93.32","$83.44","$0.00","$98.40","$98.56","$122.84","$114.80","$0.00","$111.68","","$0.00","","","","","","","",""
"Rockingham Hospital"," IMMUNOASSAY","83516","$169.00","$16.52","$126.58","$126.58","$0.00","$92.83","$96.16","$85.99","$0.00","$101.40","$101.57","$126.58","$118.30","$0.00","$115.09","$16.52","$0.00","","","","","","","",""
"Rockingham Hospital"," MITOCHONDRIAL ANTIBODY","83516","$136.00","$16.52","$101.86","$101.86","$0.00","$74.70","$77.38","$69.20","$0.00","$81.60","$81.74","$101.86","$95.20","$0.00","$92.62","$16.52","$0.00","","","","","","","",""
"Rockingham Hospital"," IBD TEST 1","83516","$51.00","$16.52","$38.20","$38.20","$0.00","$28.01","$29.02","$25.95","$0.00","$30.60","$30.65","$38.20","$35.70","$0.00","$34.73","$16.52","$0.00","","","","","","","",""
"Rockingham Hospital"," IBD TEST 2","83516","$51.00","$16.52","$38.20","$38.20","$0.00","$28.01","$29.02","$25.95","$0.00","$30.60","$30.65","$38.20","$35.70","$0.00","$34.73","$16.52","$0.00","","","","","","","",""
"Rockingham Hospital"," IBD TEST 3","83516","$51.00","$16.52","$38.20","$38.20","$0.00","$28.01","$29.02","$25.95","$0.00","$30.60","$30.65","$38.20","$35.70","$0.00","$34.73","$16.52","$0.00","","","","","","","",""
