Facility Name,Charge Description,CPT/HCPCS,Price,Min,Max,Aetna,Aetna Medicare Advantage,Aetna NC Preferred,BCBS,BCBS Blue Select,BCBS Blue UNC Health Alliance,Blue Home,Cash Discount,Cigna,Cigna Connect Network,Cigna SureFit,First Health,Humana,Humana Medicare Advantage,Liberty  Medicare Advantage,MedCost,TriCare,United Healthcare,United Healthcare Medicare Advantage,WellCare Medicare Advantage
"Johnston Memorial Hospital","HC WIRELESS EXTERNAL NEUROSTIMULATOR","","$1,750.00","$363.30","$1,400.00","$962.50","$0.00","$875.00","$520.10","$520.10","$363.30","$410.55","$1,050.00","$1,100.75","$703.50","$717.50","$1,365.00","$1,400.00","$0.00","$0.00","$1,251.43","$0.00","$920.50","$0.00","$0.00"
"Johnston Memorial Hospital","HC TISSUE MARKER","A4648","$300.00","$65.37","$240.00","$165.00","$0.00","$150.00","$93.60","$93.60","$65.37","$73.86","$180.00","$188.70","$120.60","$123.00","$234.00","$240.00","$0.00","$0.00","$214.53","$0.00","$157.80","$0.00","$0.00"
"Johnston Memorial Hospital","HC VECTRIS SUBCOMPACT TRIAL LEAD KT","C1778","$2,677.00","$583.32","$2,141.60","$1,472.35","$0.00","$1,338.50","$835.22","$835.22","$583.32","$659.08","$1,606.20","$1,683.83","$1,076.15","$1,097.57","$2,088.06","$2,141.60","$0.00","$0.00","$1,914.32","$0.00","$1,408.10","$0.00","$0.00"
"Johnston Memorial Hospital","HC PEAK FLOW METER","A4614","$142.00","$30.94","$113.60","$78.10","$0.00","$71.00","$44.30","$44.30","$30.94","$34.96","$85.20","$89.32","$57.08","$58.22","$110.76","$113.60","$0.00","$0.00","$101.54","$0.00","$74.69","$0.00","$0.00"
"Johnston Memorial Hospital","HC FNAA-FNA W/ ATND PATHOL PRESNT","10021","$1,262.00","$53.00","$1,009.60","$694.10","$317.19","$631.00","$547.71","$547.71","$382.51","$432.24","$757.20","$53.00","$507.32","$517.42","$984.36","$1,009.60","$314.05","$329.75","$902.46","$314.05","$587.00","$311.15","$317.19"
"Johnston Memorial Hospital","HC LDL IMMUNOADSORPTION PROCEDURE","38206","$4,828.00","$1,288.97","$3,862.40","$2,655.40","$1,314.00","$2,414.00","$2,095.35","$2,095.35","$1,463.37","$1,653.59","$2,896.80","$3,036.81","$1,940.86","$1,979.48","$3,765.84","$3,862.40","$1,300.99","$1,366.04","$3,452.50","$1,300.99","$3,393.00","$1,288.97","$1,314.00"
"Johnston Memorial Hospital","HC PBSC COLLECTION ALLOGENIC","38207","$2,632.00","$377.88","$2,105.60","$1,447.60","$385.22","$1,316.00","$1,045.69","$1,045.69","$730.38","$825.13","$1,579.20","$1,655.53","$1,058.06","$1,079.12","$2,052.96","$2,105.60","$381.40","$400.47","$1,882.14","$381.40","$1,384.43","$377.88","$385.22"
"Johnston Memorial Hospital","HC PBSC COLLECTION AUTOLOGOUS","38208","$2,243.00","$377.88","$2,243.00","$1,233.65","$385.22","$1,121.50","$973.46","$973.46","$679.85","$768.23","$1,345.80","$2,243.00","$901.69","$919.63","$1,749.54","$1,794.40","$381.40","$400.47","$1,603.97","$381.40","$587.00","$377.88","$385.22"
"Johnston Memorial Hospital","HC CRYOPRESERVATION","38209","$1,158.00","$350.99","$1,158.00","$636.90","$385.22","$579.00","$502.57","$502.57","$350.99","$396.62","$694.80","$1,158.00","$465.52","$474.78","$903.24","$926.40","$381.40","$400.47","$828.09","$381.40","$587.00","$377.88","$385.22"
"Johnston Memorial Hospital","HC THAWING & INFUSION FEE PBSC/BM","38210","$1,847.00","$377.88","$1,847.00","$1,015.85","$385.22","$923.50","$801.60","$801.60","$559.83","$632.60","$1,108.20","$1,847.00","$742.49","$757.27","$1,440.66","$1,477.60","$381.40","$400.47","$1,320.79","$381.40","$587.00","$377.88","$385.22"
"Johnston Memorial Hospital","HC CORD BLOOD THAW WASH","38212","$856.00","$259.45","$684.80","$470.80","$0.00","$428.00","$371.50","$371.50","$259.45","$293.18","$513.60","$0.00","$344.11","$350.96","$667.68","$684.80","$0.00","$0.00","$612.13","$0.00","$0.00","$0.00","$0.00"
"Johnston Memorial Hospital","HC BM/PBSC HARVEST MOD(CD34SELECT","38214","$12,574.00","$3,811.18","$10,059.20","$6,915.70","$0.00","$6,287.00","$5,457.12","$5,457.12","$3,811.18","$4,306.60","$7,544.40","$0.00","$5,054.75","$5,155.34","$9,807.72","$10,059.20","$0.00","$0.00","$8,991.67","$0.00","$0.00","$0.00","$0.00"
"Johnston Memorial Hospital","HC RED CELL REDUCTION","38215","$964.00","$292.19","$771.20","$530.20","$0.00","$482.00","$418.38","$418.38","$292.19","$330.17","$578.40","$0.00","$387.53","$395.24","$751.92","$771.20","$0.00","$0.00","$689.36","$0.00","$0.00","$0.00","$0.00"
"Johnston Memorial Hospital","HC PLASMA REDUCTION","38214","$701.00","$212.47","$560.80","$385.55","$0.00","$350.50","$304.23","$304.23","$212.47","$240.09","$420.60","$0.00","$281.80","$287.41","$546.78","$560.80","$0.00","$0.00","$501.29","$0.00","$0.00","$0.00","$0.00"
"Johnston Memorial Hospital","HC BUFFY COAT PROCESSING","38215","$1,657.00","$502.24","$1,325.60","$911.35","$0.00","$828.50","$719.14","$719.14","$502.24","$567.52","$994.20","$0.00","$666.11","$679.37","$1,292.46","$1,325.60","$0.00","$0.00","$1,184.92","$0.00","$0.00","$0.00","$0.00"
"Johnston Memorial Hospital","HC THERAPEUTIC PHLEBOTOMY","99195","$341.00","$81.09","$272.80","$187.55","$106.70","$170.50","$116.14","$116.14","$81.09","$106.90","$204.60","$214.49","$137.08","$139.81","$265.98","$272.80","$105.65","$110.93","$243.85","$105.65","$179.37","$106.18","$106.70"
"Johnston Memorial Hospital","HC HYDRATION IV INITIAL 31MIN-1HR","96360","$631.00","$121.72","$504.80","$347.05","$179.82","$315.50","$174.28","$174.28","$121.72","$137.56","$378.60","$396.90","$253.66","$258.71","$492.18","$504.80","$178.04","$186.94","$451.23","$178.04","$331.91","$178.93","$179.82"
"Johnston Memorial Hospital","HC HYDRATION IV EACH ADDTL HR","96361","$190.00","$36.65","$152.00","$104.50","$37.30","$95.00","$52.48","$52.48","$36.65","$41.42","$114.00","$119.51","$76.38","$77.90","$148.20","$152.00","$36.93","$38.77","$135.87","$36.93","$99.94","$37.11","$37.30"
"Johnston Memorial Hospital","HC IV INFUSION INITIAL UP TO 1HR","96365","$647.00","$124.81","$517.60","$355.85","$179.82","$323.50","$178.70","$178.70","$124.81","$141.05","$388.20","$406.96","$260.09","$265.27","$504.66","$517.60","$178.04","$186.94","$462.67","$178.04","$340.32","$178.93","$179.82"
"Johnston Memorial Hospital","HC IV INFUSION EACH ADDTL HR","96366","$196.00","$36.93","$156.80","$107.80","$37.30","$98.00","$54.14","$54.14","$37.81","$42.73","$117.60","$123.28","$78.79","$80.36","$152.88","$156.80","$36.93","$38.77","$140.16","$36.93","$103.10","$37.11","$37.30"
"Johnston Memorial Hospital","HC IV INFUSION SEQUENTIAL UPTO1HR","96367","$319.00","$58.59","$255.20","$175.45","$59.18","$159.50","$88.11","$88.11","$61.54","$69.54","$191.40","$200.65","$128.24","$130.79","$248.82","$255.20","$58.59","$61.52","$228.12","$58.59","$167.79","$58.89","$59.18"
"Johnston Memorial Hospital","HC IV INFUSION CONCURRENT","96368","$234.00","$45.14","$187.20","$128.70","$0.00","$117.00","$64.63","$64.63","$45.14","$51.01","$140.40","$147.19","$94.07","$95.94","$182.52","$187.20","$0.00","$0.00","$167.33","$0.00","$123.08","$0.00","$0.00"
"Johnston Memorial Hospital","HC INJECTION ADMIN INTRA ARTERIAL","96373","$315.00","$60.76","$252.00","$173.25","$181.06","$157.50","$87.00","$87.00","$60.76","$68.67","$189.00","$198.14","$126.63","$129.15","$245.70","$252.00","$179.26","$188.23","$225.26","$179.26","$165.69","$178.93","$181.06"
"Johnston Memorial Hospital","HC IV PUSH SINGLE / INITIAL","96374","$420.00","$81.02","$336.00","$231.00","$179.82","$210.00","$116.00","$116.00","$81.02","$91.56","$252.00","$264.18","$168.84","$172.20","$327.60","$336.00","$178.04","$186.94","$300.34","$178.04","$220.92","$178.93","$179.82"
"Johnston Memorial Hospital","HC IV PUSH SEQ EA ADD NEW DRUG","96375","$288.00","$36.93","$230.40","$158.40","$37.30","$144.00","$79.55","$79.55","$55.56","$62.78","$172.80","$181.15","$115.78","$118.08","$224.64","$230.40","$36.93","$38.77","$205.95","$36.93","$151.49","$37.11","$37.30"
"Johnston Memorial Hospital","HC IV PUSH SAME DRUG EA ADD","96376","$229.00","$44.17","$183.20","$125.95","$0.00","$114.50","$63.25","$63.25","$44.17","$49.92","$137.40","$144.04","$92.06","$93.89","$178.62","$183.20","$0.00","$0.00","$163.76","$0.00","$120.45","$0.00","$0.00"
"Johnston Memorial Hospital","HC SOLN NACL FLUSH 10ML SYR","","$1.00","$0.22","$0.80","$0.55","$0.00","$0.50","$0.31","$0.31","$0.22","$0.25","$0.60","$0.63","$0.40","$0.41","$0.78","$0.80","$0.00","$0.00","$0.72","$0.00","$0.53","$0.00","$0.00"
"Johnston Memorial Hospital","HC COLLECTION BLOOD VENIPUNCTURE","36415","$25.00","$1.95","$25.00","$13.75","$3.03","$12.50","$0.00","$0.00","$0.00","$0.00","$15.00","$1.95","$10.05","$10.25","$19.50","$20.00","$3.00","$3.15","$17.88","$3.00","$25.00","$3.02","$3.03"
"Johnston Memorial Hospital","HC VENOUS PH POC","82800","$80.00","$7.49","$80.00","$44.00","$11.11","$40.00","$23.28","$23.28","$16.26","$25.08","$48.00","$7.49","$32.16","$32.80","$62.40","$64.00","$11.00","$0.00","$57.21","$11.00","$80.00","$11.06","$11.11"
"Johnston Memorial Hospital","HC ARTERIAL BLOOD GASES POC","82803","$292.00","$17.13","$233.60","$160.60","$26.33","$146.00","$84.97","$84.97","$59.33","$91.54","$175.20","$17.13","$117.38","$119.72","$227.76","$233.60","$26.07","$27.37","$208.81","$26.07","$93.00","$26.20","$26.33"
"Johnston Memorial Hospital","HC GLUCOSE POC","82947","$40.00","$3.48","$40.00","$22.00","$3.97","$20.00","$11.64","$11.64","$8.13","$12.54","$24.00","$3.48","$16.08","$16.40","$31.20","$32.00","$3.93","$4.13","$28.60","$3.93","$40.00","$3.95","$3.97"
"Johnston Memorial Hospital","HC BLOOD GAS PACKAGE","82803","$292.00","$17.13","$233.60","$160.60","$26.33","$146.00","$84.97","$84.97","$59.33","$91.54","$175.20","$17.13","$117.38","$119.72","$227.76","$233.60","$26.07","$27.37","$208.81","$26.07","$93.00","$26.20","$26.33"
"Johnston Memorial Hospital","HC CHEMO INJ SQ/IM NON HORMONAL","96401","$272.00","$58.59","$217.60","$149.60","$59.18","$136.00","$119.98","$119.98","$83.80","$94.68","$163.20","$171.09","$109.34","$111.52","$212.16","$217.60","$58.59","$61.52","$194.51","$58.59","$143.07","$58.89","$59.18"
"Johnston Memorial Hospital","HC CHEMO INJ SQ/IM HORMONAL","96402","$396.00","$58.59","$316.80","$217.80","$59.18","$198.00","$174.68","$174.68","$122.01","$137.85","$237.60","$249.08","$159.19","$162.36","$308.88","$316.80","$58.59","$61.52","$283.18","$58.59","$208.30","$58.89","$59.18"
"Johnston Memorial Hospital","HC CHEMO IV PUSH SINGLE/INITIAL","96409","$597.00","$178.04","$477.60","$328.35","$179.82","$298.50","$263.34","$263.34","$183.94","$207.82","$358.20","$375.51","$239.99","$244.77","$465.66","$477.60","$178.04","$186.94","$426.91","$178.04","$314.02","$178.93","$179.82"
"Johnston Memorial Hospital","HC CHEMO IV PUSH EA ADD SUBST/DRUG","96411","$512.00","$58.59","$409.60","$281.60","$59.18","$256.00","$225.84","$225.84","$157.75","$178.23","$307.20","$322.05","$205.82","$209.92","$399.36","$409.60","$58.59","$61.52","$366.13","$58.59","$269.31","$58.89","$59.18"
"Johnston Memorial Hospital","HC CHEMO IV INITIAL UP TO 1HR","96413","$1,114.00","$300.00","$891.20","$612.70","$303.00","$557.00","$491.39","$491.39","$343.22","$387.78","$668.40","$700.71","$447.83","$456.74","$868.92","$891.20","$300.00","$315.00","$796.62","$300.00","$585.96","$301.50","$303.00"
"Johnston Memorial Hospital","HC CHEMO IV EACH ADDTL HOUR","96415","$342.00","$58.59","$273.60","$188.10","$59.18","$171.00","$150.86","$150.86","$105.37","$119.05","$205.20","$215.12","$137.48","$140.22","$266.76","$273.60","$58.59","$61.52","$244.56","$58.59","$179.89","$58.89","$59.18"
"Johnston Memorial Hospital","HC CHEMO INFUSION PROLONGED 8+ HRS","96416","$806.00","$248.33","$644.80","$443.30","$303.00","$403.00","$355.53","$355.53","$248.33","$280.57","$483.60","$506.97","$324.01","$330.46","$628.68","$644.80","$300.00","$315.00","$576.37","$300.00","$423.96","$301.50","$303.00"
"Johnston Memorial Hospital","HC CHEMO IV SEQ DIFF DRUG TO 1HR","96417","$521.00","$58.59","$416.80","$286.55","$59.18","$260.50","$229.81","$229.81","$160.52","$181.36","$312.60","$327.71","$209.44","$213.61","$406.38","$416.80","$58.59","$61.52","$372.57","$58.59","$274.05","$58.89","$59.18"
"Johnston Memorial Hospital","HC REFILLING AND MAINTENANCE OF PORTABLE PUMP","96521","$453.00","$107.72","$362.40","$249.15","$187.97","$226.50","$154.29","$154.29","$107.72","$142.02","$271.80","$284.94","$182.11","$185.73","$353.34","$362.40","$186.11","$0.00","$323.94","$186.11","$238.28","$178.93","$187.97"
"Johnston Memorial Hospital","HC CHEMO ADMIN INTR ARTERIAL PUSH","96420","$1,085.00","$301.50","$868.00","$596.75","$307.35","$542.50","$478.59","$478.59","$334.29","$377.69","$651.00","$682.47","$436.17","$444.85","$846.30","$868.00","$304.31","$319.52","$775.88","$304.31","$570.71","$301.50","$307.35"
"Johnston Memorial Hospital","HC HYSTERECTOMY FOLLOW C-SEC","","$4,745.00","$1,438.21","$3,796.00","$2,609.75","$0.00","$2,372.50","$2,059.33","$2,059.33","$1,438.21","$1,625.16","$2,847.00","$0.00","$1,907.49","$1,945.45","$3,701.10","$3,796.00","$0.00","$0.00","$3,393.15","$0.00","$2,495.87","$0.00","$0.00"
"Johnston Memorial Hospital","HC D&E","59812","$6,682.00","$2,025.31","$5,345.60","$3,675.10","$0.00","$3,341.00","$2,899.99","$2,899.99","$2,025.31","$2,288.59","$4,009.20","$0.00","$2,686.16","$2,739.62","$5,211.96","$5,345.60","$0.00","$0.00","$4,778.30","$0.00","$3,514.73","$0.00","$0.00"
"Johnston Memorial Hospital","HC FETAL NON STRESS TEST","59025","$706.00","$160.90","$564.80","$388.30","$162.51","$353.00","$280.49","$280.49","$195.92","$221.33","$423.60","$444.07","$283.81","$289.46","$550.68","$564.80","$160.90","$168.94","$504.86","$160.90","$371.36","$161.70","$162.51"
"Johnston Memorial Hospital","HC D&C","58120","$6,245.00","$1,892.86","$4,996.00","$3,434.75","$0.00","$3,122.50","$2,710.33","$2,710.33","$1,892.86","$2,138.91","$3,747.00","$0.00","$2,510.49","$2,560.45","$4,871.10","$4,996.00","$0.00","$0.00","$4,465.80","$0.00","$3,284.87","$0.00","$0.00"
"Johnston Memorial Hospital","HC NASOTRACHEAL ASPIRATION","31720","$292.00","$69.44","$233.60","$160.60","$188.20","$146.00","$99.46","$99.46","$69.44","$91.54","$175.20","$183.67","$117.38","$119.72","$227.76","$233.60","$186.33","$0.00","$208.81","$186.33","$153.59","$179.14","$188.20"
"Johnston Memorial Hospital","HC TRACH TUBE EXCHANGE RESPIRATORY","31502","$383.00","$116.09","$383.00","$210.65","$200.67","$191.50","$166.22","$166.22","$116.09","$131.18","$229.80","$383.00","$153.97","$157.03","$298.74","$306.40","$200.16","$0.00","$273.88","$192.59","$383.00","$198.31","$194.52"
"Johnston Memorial Hospital","HC BRONCHOSCOPY DIAGNOSTIC","31622","$5,028.00","$1,523.99","$4,022.40","$2,765.40","$0.00","$2,514.00","$2,182.15","$2,182.15","$1,523.99","$1,722.09","$3,016.80","$0.00","$2,021.26","$2,061.48","$3,921.84","$4,022.40","$0.00","$0.00","$3,595.52","$0.00","$2,644.73","$0.00","$0.00"
"Johnston Memorial Hospital","HC BRONCH W BRUSHINGS","","$3,150.00","$954.77","$2,520.00","$1,732.50","$0.00","$1,575.00","$1,367.10","$1,367.10","$954.77","$1,078.88","$1,890.00","$0.00","$1,266.30","$1,291.50","$2,457.00","$2,520.00","$0.00","$0.00","$2,252.57","$0.00","$1,656.90","$0.00","$0.00"
"Johnston Memorial Hospital","HC BRONCHIAL ALVEOLAR LAV CATH","","$3,465.00","$1,050.24","$2,772.00","$1,905.75","$0.00","$1,732.50","$1,503.81","$1,503.81","$1,050.24","$1,186.76","$2,079.00","$0.00","$1,392.93","$1,420.65","$2,702.70","$2,772.00","$0.00","$0.00","$2,477.82","$0.00","$1,822.59","$0.00","$0.00"
"Johnston Memorial Hospital","HC FLUORESCENT BRONCH BX","","$3,465.00","$1,050.24","$2,772.00","$1,905.75","$0.00","$1,732.50","$1,503.81","$1,503.81","$1,050.24","$1,186.76","$2,079.00","$0.00","$1,392.93","$1,420.65","$2,702.70","$2,772.00","$0.00","$0.00","$2,477.82","$0.00","$1,822.59","$0.00","$0.00"
"Johnston Memorial Hospital","HC BRONCH W TB BX(S) SNGLE LOBE","","$5,800.00","$1,757.98","$4,640.00","$3,190.00","$0.00","$2,900.00","$2,517.20","$2,517.20","$1,757.98","$1,986.50","$3,480.00","$0.00","$2,331.60","$2,378.00","$4,524.00","$4,640.00","$0.00","$0.00","$4,147.58","$0.00","$3,050.80","$0.00","$0.00"
"Johnston Memorial Hospital","HC BRONCH W TB NDL ASP BX (S)","","$3,150.00","$954.77","$2,520.00","$1,732.50","$0.00","$1,575.00","$1,367.10","$1,367.10","$954.77","$1,078.88","$1,890.00","$0.00","$1,266.30","$1,291.50","$2,457.00","$2,520.00","$0.00","$0.00","$2,252.57","$0.00","$1,656.90","$0.00","$0.00"
"Johnston Memorial Hospital","HC BRONCH W REMOVAL FOREIGN BODY","","$3,575.00","$1,083.58","$2,860.00","$1,966.25","$0.00","$1,787.50","$1,551.55","$1,551.55","$1,083.58","$1,224.44","$2,145.00","$0.00","$1,437.15","$1,465.75","$2,788.50","$2,860.00","$0.00","$0.00","$2,556.48","$0.00","$1,880.45","$0.00","$0.00"
"Johnston Memorial Hospital","HC BRONCHOSCOPY W EBUS SAMPLE 1-2 NODES","","$4,980.00","$1,509.44","$3,984.00","$2,739.00","$0.00","$2,490.00","$2,161.32","$2,161.32","$1,509.44","$1,705.65","$2,988.00","$0.00","$2,001.96","$2,041.80","$3,884.40","$3,984.00","$0.00","$0.00","$3,561.20","$0.00","$2,619.48","$0.00","$0.00"
"Johnston Memorial Hospital","HC BRONCHOSCOPY W EBUS SAMPLE 3 OR MORE NODES","","$5,280.00","$1,600.37","$4,224.00","$2,904.00","$0.00","$2,640.00","$2,291.52","$2,291.52","$1,600.37","$1,808.40","$3,168.00","$0.00","$2,122.56","$2,164.80","$4,118.40","$4,224.00","$0.00","$0.00","$3,775.73","$0.00","$2,777.28","$0.00","$0.00"
"Johnston Memorial Hospital","HC DIALYSIS TRANSFUSION BLD/BLD COMPONENTS","36430","$1,050.00","$286.23","$840.00","$577.50","$379.76","$525.00","$409.92","$409.92","$286.23","$323.51","$630.00","$660.45","$422.10","$430.50","$819.00","$840.00","$376.00","$394.80","$750.86","$376.00","$552.30","$377.88","$379.76"
"Johnston Memorial Hospital","HC INTUBATION","31500","$939.00","$223.20","$751.20","$516.45","$0.00","$469.50","$319.64","$319.64","$223.20","$252.22","$563.40","$590.63","$377.48","$384.99","$732.42","$751.20","$0.00","$0.00","$671.48","$0.00","$493.91","$0.00","$0.00"
"Johnston Memorial Hospital","HC NEBULIZER TREATMENT","94640","$409.00","$97.22","$327.20","$224.95","$180.04","$204.50","$139.22","$139.22","$97.22","$109.86","$245.40","$257.26","$164.42","$167.69","$319.02","$327.20","$178.25","$187.17","$292.48","$178.25","$215.13","$179.14","$180.04"
"Johnston Memorial Hospital","HC MDI METRD DOSE INHAL","94640","$486.00","$115.52","$388.80","$267.30","$180.04","$243.00","$165.43","$165.43","$115.52","$130.54","$291.60","$305.69","$195.37","$199.26","$379.08","$388.80","$178.25","$187.17","$347.54","$178.25","$255.64","$179.14","$180.04"
"Johnston Memorial Hospital","HC CONTINUOUS NEB TEX EA ADD HR","94645","$200.00","$47.54","$160.00","$110.00","$0.00","$100.00","$68.08","$68.08","$47.54","$53.72","$120.00","$125.80","$80.40","$82.00","$156.00","$160.00","$0.00","$0.00","$143.02","$0.00","$105.20","$0.00","$0.00"
"Johnston Memorial Hospital","HC CHEST PHYSICAL THERAPY INITIAL","94667","$278.00","$66.08","$222.40","$152.90","$106.70","$139.00","$94.63","$94.63","$66.08","$74.67","$166.80","$174.86","$111.76","$113.98","$216.84","$222.40","$105.65","$110.93","$198.80","$105.65","$146.23","$106.18","$106.70"
