Facility Name,Charge Description,CPT/HCPCS,Price,Min,Max,Aetna,Aetna Medicare Advantage,BCBS,BCBS Medicare Advantage,Cash Discount,Cigna,Cigna Connect Network,Cigna SureFit,Coventry,First Carolina Care,First Carolina Care Medicare Advantage,First Health,First Medicare Direct,Humana,Humana Gold,Humana Medicare Advantage,MedCost,TriCare,United Healthcare,United Healthcare Medicare Advantage,WellCare Medicare Advantage
"Chatham Hospital","HC CHT MED/SURG OBSERVATION CARE PER HOUR","G0378","$39.00","$10.92","$35.88","$29.64","$11.54","$30.24","$10.92","$23.40","$29.52","$20.67","$21.06","$29.64","$35.10","$11.65","$34.71","$11.70","$34.32","$11.42","$11.42","$35.88","$11.37","$35.10","$11.59","$11.47"
"Chatham Hospital","HC ABDOMINAL BINDER","","$65.00","$18.20","$59.80","$49.40","$0.00","$50.39","$18.20","$39.00","$49.21","$34.45","$35.10","$49.40","$58.50","$19.42","$57.85","$19.50","$57.20","$19.04","$19.04","$59.80","$18.95","$58.50","$19.32","$19.11"
"Chatham Hospital","HC HIGH FLOW OXYGEN THERAPY","","$490.00","$137.20","$450.80","$372.40","$0.00","$379.90","$137.20","$294.00","$370.93","$259.70","$264.60","$372.40","$441.00","$146.36","$436.10","$147.00","$431.20","$143.52","$143.52","$450.80","$142.84","$441.00","$145.65","$144.06"
"Chatham Hospital","HC OXYGEN THERAPY PER DAY","","$152.00","$42.56","$139.84","$115.52","$0.00","$117.85","$42.56","$91.20","$115.06","$80.56","$82.08","$115.52","$136.80","$45.40","$135.28","$45.60","$133.76","$44.52","$44.52","$139.84","$44.31","$136.80","$45.18","$44.69"
"Chatham Hospital","HC HIGH FLOW SUPPLY","","$211.00","$59.08","$194.12","$160.36","$0.00","$163.59","$59.08","$126.60","$159.73","$111.83","$113.94","$160.36","$189.90","$63.03","$187.79","$63.30","$185.68","$61.80","$61.80","$194.12","$61.51","$189.90","$62.72","$62.03"
"Chatham Hospital","HC ULTRA TAG SUPPLY","","$211.00","$59.08","$194.12","$160.36","$0.00","$163.59","$59.08","$126.60","$159.73","$111.83","$113.94","$160.36","$189.90","$63.03","$187.79","$63.30","$185.68","$61.80","$61.80","$194.12","$61.51","$189.90","$62.72","$62.03"
"Chatham Hospital","HC ARM SLING","A4565","$47.00","$13.16","$43.24","$35.72","$13.91","$36.44","$13.16","$28.20","$35.58","$24.91","$25.38","$35.72","$42.30","$14.04","$41.83","$14.10","$41.36","$13.77","$13.77","$43.24","$13.70","$42.30","$13.97","$13.82"
"Chatham Hospital","HC BOOT WALKER CAM","","$126.00","$35.28","$115.92","$95.76","$0.00","$97.69","$35.28","$75.60","$95.38","$66.78","$68.04","$95.76","$113.40","$37.64","$112.14","$37.80","$110.88","$36.91","$36.91","$115.92","$36.73","$113.40","$37.45","$37.04"
"Chatham Hospital","HC FETAL SCALP ELECTRODE","","$21.00","$5.88","$19.32","$15.96","$0.00","$16.28","$5.88","$12.60","$15.90","$11.13","$11.34","$15.96","$18.90","$6.27","$18.69","$6.30","$18.48","$6.15","$6.15","$19.32","$6.12","$18.90","$6.24","$6.17"
"Chatham Hospital","HC COMB SPINAL/EPID PROC SUPPLIES","","$253.00","$70.84","$232.76","$192.28","$0.00","$196.15","$70.84","$151.80","$191.52","$134.09","$136.62","$192.28","$227.70","$75.57","$225.17","$75.90","$222.64","$74.10","$74.10","$232.76","$73.75","$227.70","$75.20","$74.38"
"Chatham Hospital","HC EPIDURAL SUPPLIES","","$234.00","$65.52","$215.28","$177.84","$0.00","$181.42","$65.52","$140.40","$177.14","$124.02","$126.36","$177.84","$210.60","$69.90","$208.26","$70.20","$205.92","$68.54","$68.54","$215.28","$68.21","$210.60","$69.56","$68.80"
"Chatham Hospital","HC BALLOON TAMPANADE CATHETER","","$506.00","$141.68","$465.52","$384.56","$0.00","$392.30","$141.68","$303.60","$383.04","$268.18","$273.24","$384.56","$455.40","$151.14","$450.34","$151.80","$445.28","$148.21","$148.21","$465.52","$147.50","$455.40","$150.41","$148.76"
"Chatham Hospital","HC INTRAUTERINE PRESSURE CATHETER","","$126.00","$35.28","$115.92","$95.76","$0.00","$97.69","$35.28","$75.60","$95.38","$66.78","$68.04","$95.76","$113.40","$37.64","$112.14","$37.80","$110.88","$36.91","$36.91","$115.92","$36.73","$113.40","$37.45","$37.04"
"Chatham Hospital","HC SCD SLEEVE","","$203.00","$56.84","$186.76","$154.28","$0.00","$157.39","$56.84","$121.80","$153.67","$107.59","$109.62","$154.28","$182.70","$60.64","$180.67","$60.90","$178.64","$59.46","$59.46","$186.76","$59.17","$182.70","$60.34","$59.68"
"Chatham Hospital","HC VACUUM EXTRACTOR","","$135.00","$37.80","$124.20","$102.60","$0.00","$104.67","$37.80","$81.00","$102.20","$71.55","$72.90","$102.60","$121.50","$40.32","$120.15","$40.50","$118.80","$39.54","$39.54","$124.20","$39.35","$121.50","$40.13","$39.69"
"Chatham Hospital","HC SINGLE PICC CATHETER","C1751","$465.00","$130.20","$427.80","$353.40","$137.64","$360.51","$130.20","$279.00","$352.01","$246.45","$251.10","$353.40","$418.50","$138.90","$413.85","$139.50","$409.20","$136.20","$136.20","$427.80","$135.55","$418.50","$138.22","$136.71"
"Chatham Hospital","HC IP DUAL PICC CATHETER","C1751","$514.00","$143.92","$472.88","$390.64","$152.14","$398.50","$143.92","$308.40","$389.10","$272.42","$277.56","$390.64","$462.60","$153.53","$457.46","$154.20","$452.32","$150.55","$150.55","$472.88","$149.83","$462.60","$152.79","$151.12"
"Chatham Hospital","HC IP TRIPLE PICC CATHETER","C1751","$564.00","$157.92","$518.88","$428.64","$166.94","$437.27","$157.92","$338.40","$426.95","$298.92","$304.56","$428.64","$507.60","$168.47","$501.96","$169.20","$496.32","$165.20","$165.20","$518.88","$164.41","$507.60","$167.65","$165.82"
"Chatham Hospital","HC SPINAL PROCEDURE SUPPLIES","","$142.00","$39.76","$130.64","$107.92","$0.00","$110.09","$39.76","$85.20","$107.49","$75.26","$76.68","$107.92","$127.80","$42.42","$126.38","$42.60","$124.96","$41.59","$41.59","$130.64","$41.39","$127.80","$42.21","$41.75"
"Chatham Hospital","HC CVW SINGLE PICC CATHETER","C1751","$465.00","$130.20","$427.80","$353.40","$137.64","$360.51","$130.20","$279.00","$352.01","$246.45","$251.10","$353.40","$418.50","$138.90","$413.85","$139.50","$409.20","$136.20","$136.20","$427.80","$135.55","$418.50","$138.22","$136.71"
"Chatham Hospital","HC CVW IP DUAL PICC CATHETER","C1751","$514.00","$143.92","$472.88","$390.64","$152.14","$398.50","$143.92","$308.40","$389.10","$272.42","$277.56","$390.64","$462.60","$153.53","$457.46","$154.20","$452.32","$150.55","$150.55","$472.88","$149.83","$462.60","$152.79","$151.12"
"Chatham Hospital","HC CVW IP TRIPLE PICC CATHETER","C1751","$564.00","$157.92","$518.88","$428.64","$166.94","$437.27","$157.92","$338.40","$426.95","$298.92","$304.56","$428.64","$507.60","$168.47","$501.96","$169.20","$496.32","$165.20","$165.20","$518.88","$164.41","$507.60","$167.65","$165.82"
"Chatham Hospital","HC CRUTCHES (PAIR)","E0112","$131.00","$36.68","$120.52","$99.56","$0.00","$101.56","$36.68","$78.60","$99.17","$69.43","$70.74","$99.56","$117.90","$39.13","$116.59","$39.30","$115.28","$38.37","$38.37","$120.52","$38.19","$117.90","$38.94","$38.51"
"Chatham Hospital","HC THERAPEUTIC PHLEBOTOMY","99195","$261.00","$73.08","$240.12","$198.36","$77.26","$202.35","$73.08","$156.60","$197.58","$138.33","$140.94","$198.36","$234.90","$77.96","$232.29","$78.30","$229.68","$76.45","$76.45","$240.12","$76.08","$234.90","$77.58","$76.73"
"Chatham Hospital","HC HYDRATION IV INITIAL 31MIN-1HR","96360","$301.00","$84.28","$276.92","$228.76","$89.10","$233.37","$84.28","$180.60","$227.86","$159.53","$162.54","$228.76","$270.90","$89.91","$267.89","$90.30","$264.88","$88.16","$88.16","$276.92","$87.74","$270.90","$89.47","$88.49"
"Chatham Hospital","HC HYDRATION IV EACH ADDTL HR","96361","$114.00","$31.92","$104.88","$86.64","$33.74","$88.38","$31.92","$68.40","$86.30","$60.42","$61.56","$86.64","$102.60","$34.05","$101.46","$34.20","$100.32","$33.39","$33.39","$104.88","$33.23","$102.60","$33.89","$33.52"
"Chatham Hospital","HC IV INFUSION INITIAL UP TO 1HR","96365","$301.00","$84.28","$276.92","$228.76","$89.10","$233.37","$84.28","$180.60","$227.86","$159.53","$162.54","$228.76","$270.90","$89.91","$267.89","$90.30","$264.88","$88.16","$88.16","$276.92","$87.74","$270.90","$89.47","$88.49"
"Chatham Hospital","HC IV INFUSION EACH ADDTL HR","96366","$114.00","$31.92","$104.88","$86.64","$33.74","$88.38","$31.92","$68.40","$86.30","$60.42","$61.56","$86.64","$102.60","$34.05","$101.46","$34.20","$100.32","$33.39","$33.39","$104.88","$33.23","$102.60","$33.89","$33.52"
"Chatham Hospital","HC IV INFUSION SEQUENTIAL UPTO1HR","96367","$130.00","$36.40","$119.60","$98.80","$38.48","$100.79","$36.40","$78.00","$98.41","$68.90","$70.20","$98.80","$117.00","$38.83","$115.70","$39.00","$114.40","$38.08","$38.08","$119.60","$37.90","$117.00","$38.64","$38.22"
"Chatham Hospital","HC IV INFUSION CONCURRENT","96368","$114.00","$31.92","$104.88","$86.64","$33.74","$88.38","$31.92","$68.40","$86.30","$60.42","$61.56","$86.64","$102.60","$34.05","$101.46","$34.20","$100.32","$33.39","$33.39","$104.88","$33.23","$102.60","$33.89","$33.52"
"Chatham Hospital","HC INJECTION ADMIN INTRA ARTERIAL","96373","$263.00","$73.64","$241.96","$199.88","$77.85","$203.90","$73.64","$157.80","$199.09","$139.39","$142.02","$199.88","$236.70","$78.56","$234.07","$78.90","$231.44","$77.03","$77.03","$241.96","$76.66","$236.70","$78.18","$77.32"
"Chatham Hospital","HC IV PUSH SINGLE / INITIAL","96374","$162.00","$45.36","$149.04","$123.12","$47.95","$125.60","$45.36","$97.20","$122.63","$85.86","$87.48","$123.12","$145.80","$48.39","$144.18","$48.60","$142.56","$47.45","$47.45","$149.04","$47.22","$145.80","$48.15","$47.63"
"Chatham Hospital","HC IV PUSH SEQ EA ADD NEW DRUG","96375","$162.00","$45.36","$149.04","$123.12","$47.95","$125.60","$45.36","$97.20","$122.63","$85.86","$87.48","$123.12","$145.80","$48.39","$144.18","$48.60","$142.56","$47.45","$47.45","$149.04","$47.22","$145.80","$48.15","$47.63"
"Chatham Hospital","HC IV PUSH SAME DRUG EA ADD","96376","$162.00","$45.36","$149.04","$123.12","$47.95","$125.60","$45.36","$97.20","$122.63","$85.86","$87.48","$123.12","$145.80","$48.39","$144.18","$48.60","$142.56","$47.45","$47.45","$149.04","$47.22","$145.80","$48.15","$47.63"
"Chatham Hospital","HC COLLECTION BLOOD VENIPUNCTURE","36415","$24.00","$3.03","$22.08","$18.24","$0.00","$0.00","$6.72","$14.40","$18.17","$12.72","$12.96","$18.24","$21.60","$7.17","$21.36","$3.09","$21.12","$3.03","$3.03","$22.08","$0.00","$21.60","$7.13","$7.06"
"Chatham Hospital","HC VENOUS PH POC","82800","$86.00","$11.00","$79.12","$32.68","$25.46","$32.47","$24.08","$51.60","$65.10","$45.58","$46.44","$32.68","$77.40","$0.00","$76.54","$11.33","$75.68","$11.11","$11.11","$79.12","$11.00","$77.40","$25.56","$25.28"
"Chatham Hospital","HC ARTERIAL BLOOD GASES POC","82803","$353.00","$26.07","$324.76","$134.14","$104.49","$133.26","$98.84","$211.80","$267.22","$187.09","$190.62","$134.14","$317.70","$0.00","$314.17","$26.85","$310.64","$26.33","$26.33","$324.76","$26.07","$317.70","$104.93","$103.78"
"Chatham Hospital","HC GLUCOSE POC","82947","$81.00","$3.93","$74.52","$30.78","$23.98","$30.58","$22.68","$48.60","$61.32","$42.93","$43.74","$30.78","$72.90","$0.00","$72.09","$4.05","$71.28","$3.97","$3.97","$74.52","$3.93","$72.90","$24.08","$23.81"
"Chatham Hospital","HC TUBAL LIGATION FOLLOW C-SEC","","$1,278.00","$357.84","$1,175.76","$971.28","$0.00","$990.83","$357.84","$766.80","$967.45","$677.34","$690.12","$971.28","$1,150.20","$381.74","$1,137.42","$383.40","$1,124.64","$374.33","$374.33","$1,175.76","$372.54","$1,150.20","$379.89","$375.73"
"Chatham Hospital","HC TUBAL LIGATION FOLLOW VAG DEL","","$1,900.00","$532.00","$1,748.00","$1,444.00","$0.00","$1,473.07","$532.00","$1,140.00","$1,438.30","$1,007.00","$1,026.00","$1,444.00","$1,710.00","$567.53","$1,691.00","$570.00","$1,672.00","$556.51","$556.51","$1,748.00","$553.85","$1,710.00","$564.78","$558.60"
"Chatham Hospital","HC C-SECTION NORMAL DELIVERY","","$2,951.00","$826.28","$2,714.92","$2,242.76","$0.00","$2,287.91","$826.28","$1,770.60","$2,233.91","$1,564.03","$1,593.54","$2,242.76","$2,655.90","$881.46","$2,626.39","$885.30","$2,596.88","$864.35","$864.35","$2,714.92","$860.22","$2,655.90","$877.18","$867.59"
"Chatham Hospital","HC D&E","","$2,175.00","$609.00","$2,001.00","$1,653.00","$0.00","$1,686.28","$609.00","$1,305.00","$1,646.48","$1,152.75","$1,174.50","$1,653.00","$1,957.50","$649.67","$1,935.75","$652.50","$1,914.00","$637.06","$637.06","$2,001.00","$634.01","$1,957.50","$646.52","$639.45"
"Chatham Hospital","HC FETAL NON STRESS TEST","59025","$362.00","$101.36","$333.04","$275.12","$107.15","$280.66","$101.36","$217.20","$274.03","$191.86","$195.48","$275.12","$325.80","$108.13","$322.18","$108.60","$318.56","$106.03","$106.03","$333.04","$105.52","$325.80","$107.60","$106.43"
"Chatham Hospital","HC D&C","","$2,778.00","$777.84","$2,555.76","$2,111.28","$0.00","$2,153.78","$777.84","$1,666.80","$2,102.95","$1,472.34","$1,500.12","$2,111.28","$2,500.20","$829.79","$2,472.42","$833.40","$2,444.64","$813.68","$813.68","$2,555.76","$809.79","$2,500.20","$825.76","$816.73"
"Chatham Hospital","HC NASOTRACHEAL ASPIRATION","31720","$109.00","$30.52","$100.28","$82.84","$32.26","$84.51","$30.52","$65.40","$82.51","$57.77","$58.86","$82.84","$98.10","$32.56","$97.01","$32.70","$95.92","$31.93","$31.93","$100.28","$31.77","$98.10","$32.40","$32.05"
"Chatham Hospital","HC ARTERIAL CATHETER PLACEMENT","36620","$1,637.00","$458.36","$1,506.04","$1,244.12","$0.00","$1,269.17","$458.36","$982.20","$1,239.21","$867.61","$883.98","$1,244.12","$1,473.30","$488.97","$1,456.93","$491.10","$1,440.56","$479.48","$479.48","$1,506.04","$477.19","$1,473.30","$486.60","$481.28"
"Chatham Hospital","HC INTUBATION","31500","$620.00","$173.60","$570.40","$471.20","$0.00","$480.69","$173.60","$372.00","$469.34","$328.60","$334.80","$471.20","$558.00","$185.19","$551.80","$186.00","$545.60","$181.60","$181.60","$570.40","$180.73","$558.00","$184.30","$182.28"
"Chatham Hospital","HC NEBULIZER TREATMENT","94640","$132.00","$36.96","$121.44","$100.32","$39.07","$102.34","$36.96","$79.20","$99.92","$69.96","$71.28","$100.32","$118.80","$39.43","$117.48","$39.60","$116.16","$38.66","$38.66","$121.44","$38.48","$118.80","$39.24","$38.81"
"Chatham Hospital","HC MDI METRD DOSE INHAL","94640","$109.00","$30.52","$100.28","$82.84","$32.26","$84.51","$30.52","$65.40","$82.51","$57.77","$58.86","$82.84","$98.10","$32.56","$97.01","$32.70","$95.92","$31.93","$31.93","$100.28","$31.77","$98.10","$32.40","$32.05"
"Chatham Hospital","HC CONTINUOUS NEB TEX EA ADD HR","94645","$54.00","$15.12","$49.68","$41.04","$15.98","$41.87","$15.12","$32.40","$40.88","$28.62","$29.16","$41.04","$48.60","$16.13","$48.06","$16.20","$47.52","$15.82","$15.82","$49.68","$15.74","$48.60","$16.05","$15.88"
"Chatham Hospital","HC CHEST PHYSICAL THERAPY INITIAL","94667","$144.00","$40.32","$132.48","$109.44","$42.62","$111.64","$40.32","$86.40","$109.01","$76.32","$77.76","$109.44","$129.60","$43.01","$128.16","$43.20","$126.72","$42.18","$42.18","$132.48","$41.98","$129.60","$42.80","$42.34"
"Chatham Hospital","HC TREATMENT W ACT THERAPY INITIAL","94667","$264.00","$73.92","$242.88","$200.64","$78.14","$204.68","$73.92","$158.40","$199.85","$139.92","$142.56","$200.64","$237.60","$78.86","$234.96","$79.20","$232.32","$77.33","$77.33","$242.88","$76.96","$237.60","$78.47","$77.62"
"Chatham Hospital","HC CHEST VEST THERAPY INITIAL","94669","$699.00","$195.72","$643.08","$531.24","$206.90","$541.93","$195.72","$419.40","$529.14","$370.47","$377.46","$531.24","$629.10","$208.79","$622.11","$209.70","$615.12","$204.74","$204.74","$643.08","$203.76","$629.10","$207.78","$205.51"
"Chatham Hospital","HC CHEST PHYSICAL THERAPY SUBSEQUENT","94668","$125.00","$35.00","$115.00","$95.00","$37.00","$96.91","$35.00","$75.00","$94.63","$66.25","$67.50","$95.00","$112.50","$37.34","$111.25","$37.50","$110.00","$36.61","$36.61","$115.00","$36.44","$112.50","$37.16","$36.75"
"Chatham Hospital","HC TREATMENT W ACT THERAPY SUBSEQUENT","94668","$55.00","$15.40","$50.60","$41.80","$16.28","$42.64","$15.40","$33.00","$41.64","$29.15","$29.70","$41.80","$49.50","$16.43","$48.95","$16.50","$48.40","$16.11","$16.11","$50.60","$16.03","$49.50","$16.35","$16.17"
"Chatham Hospital","HC CHEST VEST THERAPY SUBSEQUENT","94669","$55.00","$15.40","$50.60","$41.80","$16.28","$42.64","$15.40","$33.00","$41.64","$29.15","$29.70","$41.80","$49.50","$16.43","$48.95","$16.50","$48.40","$16.11","$16.11","$50.60","$16.03","$49.50","$16.35","$16.17"
"Chatham Hospital","HC INCENTIVE SPIROMETRY SUPPLY","","$82.00","$22.96","$75.44","$62.32","$0.00","$63.57","$22.96","$49.20","$62.07","$43.46","$44.28","$62.32","$73.80","$24.49","$72.98","$24.60","$72.16","$24.02","$24.02","$75.44","$23.90","$73.80","$24.37","$24.11"
"Chatham Hospital","HC ADULT VENTILATOR INITIAL","94002","$1,926.00","$539.28","$1,771.92","$1,463.76","$570.10","$1,493.23","$539.28","$1,155.60","$1,457.98","$1,020.78","$1,040.04","$1,463.76","$1,733.40","$575.30","$1,714.14","$577.80","$1,694.88","$564.13","$564.13","$1,771.92","$561.43","$1,733.40","$572.50","$566.24"
"Chatham Hospital","HC ADULT VENTILATOR(SUBSEQ)","94003","$1,530.00","$428.40","$1,407.60","$1,162.80","$452.88","$1,186.21","$428.40","$918.00","$1,158.21","$810.90","$826.20","$1,162.80","$1,377.00","$457.01","$1,361.70","$459.00","$1,346.40","$448.14","$448.14","$1,407.60","$446.00","$1,377.00","$454.79","$449.82"
"Chatham Hospital","HC AEROSOL TREATMENT","94640","$132.00","$36.96","$121.44","$100.32","$39.07","$102.34","$36.96","$79.20","$99.92","$69.96","$71.28","$100.32","$118.80","$39.43","$117.48","$39.60","$116.16","$38.66","$38.66","$121.44","$38.48","$118.80","$39.24","$38.81"
"Chatham Hospital","HC IPV TREATMENT INITIAL","94640","$603.00","$168.84","$554.76","$458.28","$178.49","$467.51","$168.84","$361.80","$456.47","$319.59","$325.62","$458.28","$542.70","$180.12","$536.67","$180.90","$530.64","$176.62","$176.62","$554.76","$175.77","$542.70","$179.24","$177.28"
"Chatham Hospital","HC IPV TREATMENT SUBSEQ","94640","$80.00","$22.40","$73.60","$60.80","$23.68","$62.02","$22.40","$48.00","$60.56","$42.40","$43.20","$60.80","$72.00","$23.90","$71.20","$24.00","$70.40","$23.43","$23.43","$73.60","$23.32","$72.00","$23.78","$23.52"
"Chatham Hospital","HC CONTINUOUS NEB TX- FIRST HOUR","94644","$127.00","$35.56","$116.84","$96.52","$37.59","$98.46","$35.56","$76.20","$96.14","$67.31","$68.58","$96.52","$114.30","$37.93","$113.03","$38.10","$111.76","$37.20","$37.20","$116.84","$37.02","$114.30","$37.75","$37.34"
"Chatham Hospital","HC BIPAP/CPAP","94660","$760.00","$212.80","$699.20","$577.60","$224.96","$589.23","$212.80","$456.00","$575.32","$402.80","$410.40","$577.60","$684.00","$227.01","$676.40","$228.00","$668.80","$222.60","$222.60","$699.20","$221.54","$684.00","$225.91","$223.44"
"Chatham Hospital","HC BIPAP/CPAP SUBSEQUENT","94660","$487.00","$136.36","$448.04","$370.12","$144.15","$377.57","$136.36","$292.20","$368.66","$258.11","$262.98","$370.12","$438.30","$145.47","$433.43","$146.10","$428.56","$142.64","$142.64","$448.04","$141.96","$438.30","$144.76","$143.18"
"Chatham Hospital","HC PT CANALITH REPOSITIONING PER DAY","95992","$119.00","$33.32","$109.48","$90.44","$35.22","$75.79","$33.32","$71.40","$90.08","$63.07","$64.26","$90.44","$107.10","$35.55","$105.91","$35.70","$104.72","$34.86","$34.86","$109.48","$34.69","$107.10","$35.37","$34.99"
"Chatham Hospital","HC PT HOT OR COLD PACK APPLICATION","97010","$120.00","$33.60","$110.40","$78.00","$35.52","$76.43","$33.60","$72.00","$90.84","$63.60","$64.80","$78.00","$108.00","$35.84","$106.80","$36.00","$105.60","$35.15","$35.15","$110.40","$34.98","$108.00","$35.67","$35.28"
"Chatham Hospital","HC PT TRACTION MECHANICAL","97012","$144.00","$40.32","$132.48","$93.60","$42.62","$91.71","$40.32","$86.40","$109.01","$76.32","$77.76","$93.60","$129.60","$43.01","$128.16","$43.20","$126.72","$42.18","$42.18","$132.48","$41.98","$129.60","$42.80","$42.34"
"Chatham Hospital","HC PT E STIM ATTENDED 15MIN","97032","$127.00","$35.56","$116.84","$82.55","$37.59","$80.89","$35.56","$76.20","$96.14","$67.31","$68.58","$82.55","$114.30","$37.93","$113.03","$38.10","$111.76","$37.20","$37.20","$116.84","$37.02","$114.30","$37.75","$37.34"
"Chatham Hospital","HC PT THERAPEUTIC EXERCISE 15MIN","97110","$109.00","$30.52","$100.28","$70.85","$32.26","$69.42","$30.52","$65.40","$82.51","$57.77","$58.86","$70.85","$98.10","$32.56","$97.01","$32.70","$95.92","$31.93","$31.93","$100.28","$31.77","$98.10","$32.40","$32.05"
"Chatham Hospital","HC PT NEUROMUSC RE EDUCATION 15MIN","97112","$75.00","$21.00","$69.00","$48.75","$22.20","$47.77","$21.00","$45.00","$56.78","$39.75","$40.50","$48.75","$67.50","$22.40","$66.75","$22.50","$66.00","$21.97","$21.97","$69.00","$21.86","$67.50","$22.29","$22.05"
"Chatham Hospital","HC PT GAIT TRAINING 15MIN","97116","$72.00","$20.16","$66.24","$46.80","$21.31","$45.86","$20.16","$43.20","$54.50","$38.16","$38.88","$46.80","$64.80","$21.51","$64.08","$21.60","$63.36","$21.09","$21.09","$66.24","$20.99","$64.80","$21.40","$21.17"
"Chatham Hospital","HC PT MASSAGE 15MIN","97124","$73.00","$20.44","$67.16","$47.45","$21.61","$46.49","$20.44","$43.80","$55.26","$38.69","$39.42","$47.45","$65.70","$21.81","$64.97","$21.90","$64.24","$21.38","$21.38","$67.16","$21.28","$65.70","$21.70","$21.46"
"Chatham Hospital","HC PT MANUAL THERAPY TECHNIQ 15MIN","97140","$193.00","$54.04","$177.56","$125.45","$57.13","$122.92","$54.04","$115.80","$146.10","$102.29","$104.22","$125.45","$173.70","$57.65","$171.77","$57.90","$169.84","$56.53","$56.53","$177.56","$56.26","$173.70","$57.37","$56.74"
"Chatham Hospital","HC PT THERAPEUTIC ACTIVITIES 15MIN","97530","$155.00","$43.40","$142.60","$100.75","$45.88","$98.72","$43.40","$93.00","$117.34","$82.15","$83.70","$100.75","$139.50","$46.30","$137.95","$46.50","$136.40","$45.40","$45.40","$142.60","$45.18","$139.50","$46.07","$45.57"
"Chatham Hospital","HC PT WHEELCHAIR MGMNT 15MIN","97542","$157.00","$43.96","$144.44","$102.05","$46.47","$99.99","$43.96","$94.20","$118.85","$83.21","$84.78","$102.05","$141.30","$46.90","$139.73","$47.10","$138.16","$45.99","$45.99","$144.44","$45.77","$141.30","$46.67","$46.16"
