Facility Name,Charge Description,CPT/HCPCS,Price,Min,Max,Aetna,Aetna Medicare Advantage,Americas First Choice Medicare Advantage,BCBS,BCBS Medicare Advantage,BCBS UNC Health Alliance,Blue Home,Cash Discount,Cigna,Cigna Behavioral Health,Cigna Connect Network,Cigna SureFit,Crescent,First Carolina Care,First Medicare Direct,Galaxy,Health Payors,HealthScope,HealthSmart,Horizons Behavioral,Humana,Humana Alignment,Humana Medicare Advantage,Liberty Medicare Advantage,LifeTrac Medicare Advantage,MedCost,MedCost Ultra,Optum Health Behavioral,Pace,Piedmont,PPO Next,Provider Select,Southeastern Health Network,TriCare,United Healthcare,United Healthcare Medicare Advantage
"UNC Hospital","HC UNCH PEDIATRICS PRIVATE ROOM","","$1,953.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$1,171.80","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"UNC Hospital","HC UNCH PSYCH PRIVATE ROOM","","$2,490.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$1,494.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"UNC Hospital","HC UNCH REHAB PRIVATE ROOM","","$1,953.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$1,171.80","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"UNC Hospital","HC UNCH SEMI PRIVATE ROOM","","$1,953.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$1,171.80","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"UNC Hospital","HC UNCH INPT EATING DISORDERS SEMI PRIVATE ROOM","","$2,905.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$1,743.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"UNC Hospital","HC UNCH PSYCH SEMI PRIVATE ROOM","","$2,490.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$1,494.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"UNC Hospital","HC UNCH REHAB SEMI PRIVATE ROOM","","$1,953.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$1,171.80","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"UNC Hospital","HC UNCH SEMI PRIVATE ROOM (3-4)","","$1,953.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$1,171.80","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"UNC Hospital","HC UNCH LEVEL 1 NURSERY","","$1,315.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$789.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"UNC Hospital","HC UNCH LEVEL 2 NURSERY","","$2,755.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$1,653.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"UNC Hospital","HC UNCH LEVEL 3 (INTERMEDIATE) NURSERY ROOM","","$3,995.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$2,397.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"UNC Hospital","HC UNCH LEVEL 4 (INTENSIVE) NURSERY ROOM","","$6,125.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$3,675.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"UNC Hospital","HC UNCH ICU ROOM","","$5,778.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$3,466.80","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"UNC Hospital","HC UNCH MED/SURGE ICU ROOM","","$5,778.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$3,466.80","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"UNC Hospital","HC HBR MED/SURGE ICU ROOM","","$5,778.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$3,466.80","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"UNC Hospital","HC UNCH PEDIATRIC ICU ROOM","","$5,575.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$3,345.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"UNC Hospital","HC UNCH INTERMEDIATE CARE ROOM","","$3,886.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$2,331.60","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"UNC Hospital","HC UNCH INTERMEDIATE CARE ROOM","","$3,897.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$2,338.20","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"UNC Hospital","HC UNCH BURN INTERMEDIATE CARE ROOM","","$3,704.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$2,222.40","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"UNC Hospital","HC HBR INTERMEDIATE CARE ROOM","","$3,886.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$2,331.60","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"UNC Hospital","HC ICU BURN ICU ROOM","","$7,936.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$4,761.60","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"UNC Hospital","HC UNCH OBSERVATION CARE PER HOUR","G0378","$82.00","$28.26","$82.00","$82.00","$0.00","$0.00","$50.82","$0.00","$28.26","$39.49","$49.20","$82.00","$82.00","$35.83","$36.65","$63.14","$61.50","$0.00","$77.90","$69.70","$65.60","$65.60","$0.00","$77.90","$0.00","$0.00","$0.00","$0.00","$58.71","$55.19","$65.60","$0.00","$65.60","$73.80","$69.70","$69.70","$0.00","$82.00","$0.00"
"UNC Hospital","HC UNCH OBSERVATION DIRECT ADMISSION","G0379","$147.00","$50.66","$520.68","$147.00","$505.80","$495.88","$91.10","$495.88","$50.66","$70.80","$88.20","$147.00","$147.00","$64.24","$65.71","$113.19","$110.25","$505.80","$139.65","$124.95","$117.60","$117.60","$0.00","$91.14","$495.88","$147.00","$520.68","$0.00","$105.25","$98.93","$117.60","$0.00","$117.60","$132.30","$124.95","$124.95","$147.00","$147.00","$147.00"
"UNC Hospital","HC HBR OBSERVATION CARE PER HOUR","G0378","$82.00","$28.26","$82.00","$82.00","$0.00","$0.00","$50.82","$0.00","$28.26","$39.49","$49.20","$82.00","$82.00","$35.83","$36.65","$63.14","$61.50","$0.00","$77.90","$69.70","$65.60","$65.60","$0.00","$77.90","$0.00","$0.00","$0.00","$0.00","$58.71","$55.19","$65.60","$0.00","$65.60","$73.80","$69.70","$69.70","$0.00","$82.00","$0.00"
"UNC Hospital","HC HBR OBSERVATION DIRECT ADMISSION","G0379","$147.00","$50.66","$520.68","$147.00","$505.80","$495.88","$91.10","$495.88","$50.66","$70.80","$88.20","$147.00","$147.00","$64.24","$65.71","$113.19","$110.25","$505.80","$139.65","$124.95","$117.60","$117.60","$0.00","$91.14","$495.88","$147.00","$520.68","$0.00","$105.25","$98.93","$117.60","$0.00","$117.60","$132.30","$124.95","$124.95","$147.00","$147.00","$147.00"
"UNC Hospital","HC VAD","","$72,000.00","$25,704.00","$72,000.00","$40,320.00","$0.00","$0.00","$48,888.00","$0.00","$27,187.20","$37,987.20","$43,200.00","$47,160.00","$72,000.00","$31,464.00","$32,184.00","$55,440.00","$54,000.00","$0.00","$68,400.00","$61,200.00","$57,600.00","$57,600.00","$0.00","$44,640.00","$0.00","$0.00","$0.00","$0.00","$51,552.00","$48,456.00","$57,600.00","$0.00","$57,600.00","$64,800.00","$61,200.00","$61,200.00","$0.00","$25,704.00","$0.00"
"UNC Hospital","HC VENTRICULAR ASSIST DEVICE - ACUTE","","$22,248.00","$7,942.54","$22,248.00","$12,458.88","$0.00","$0.00","$15,106.39","$0.00","$8,400.84","$11,738.04","$13,348.80","$14,572.44","$22,248.00","$9,722.38","$9,944.86","$17,130.96","$16,686.00","$0.00","$21,135.60","$18,910.80","$17,798.40","$17,798.40","$0.00","$13,793.76","$0.00","$0.00","$0.00","$0.00","$15,929.57","$14,972.90","$17,798.40","$0.00","$17,798.40","$20,023.20","$18,910.80","$18,910.80","$0.00","$7,942.54","$0.00"
"UNC Hospital","HC CENTRIMAG BLOOD TUBING","","$598.00","$225.80","$598.00","$0.00","$0.00","$0.00","$406.04","$0.00","$225.80","$315.50","$358.80","$391.69","$598.00","$261.33","$267.31","$460.46","$448.50","$0.00","$568.10","$508.30","$478.40","$478.40","$0.00","$370.76","$0.00","$0.00","$0.00","$0.00","$428.17","$402.45","$478.40","$0.00","$478.40","$538.20","$508.30","$508.30","$0.00","$401.86","$0.00"
"UNC Hospital","HC LONG TERM OXYGENATOR","","$4,132.00","$1,560.24","$4,132.00","$2,851.08","$0.00","$0.00","$2,805.63","$0.00","$1,560.24","$2,180.04","$2,479.20","$2,706.46","$4,132.00","$1,805.68","$1,847.00","$3,181.64","$3,099.00","$0.00","$3,925.40","$3,512.20","$3,305.60","$3,305.60","$0.00","$2,561.84","$0.00","$0.00","$0.00","$0.00","$2,958.51","$2,780.84","$3,305.60","$0.00","$3,305.60","$3,718.80","$3,512.20","$3,512.20","$0.00","$2,776.70","$0.00"
"UNC Hospital","HC CENTRIMAG ACCESSORY PACK","","$390.00","$147.26","$390.00","$0.00","$0.00","$0.00","$264.81","$0.00","$147.26","$205.76","$234.00","$255.45","$390.00","$170.43","$174.33","$300.30","$292.50","$0.00","$370.50","$331.50","$312.00","$312.00","$0.00","$241.80","$0.00","$0.00","$0.00","$0.00","$279.24","$262.47","$312.00","$0.00","$312.00","$351.00","$331.50","$331.50","$0.00","$262.08","$0.00"
"UNC Hospital","HC HW CONTROLLER ALARM ADAPTER","Q0508","$1,266.00","$478.04","$1,266.00","$0.00","$0.00","$0.00","$859.61","$0.00","$478.04","$667.94","$759.60","$829.23","$1,266.00","$553.24","$565.90","$974.82","$949.50","$0.00","$1,202.70","$1,076.10","$1,012.80","$1,012.80","$0.00","$784.92","$0.00","$0.00","$0.00","$0.00","$906.46","$852.02","$1,012.80","$0.00","$1,012.80","$1,139.40","$1,076.10","$1,076.10","$0.00","$850.75","$0.00"
"UNC Hospital","HC HW CONTROLLER AC ADAPTER","Q0508","$4,031.00","$1,522.11","$4,031.00","$2,257.36","$0.00","$0.00","$2,737.05","$0.00","$1,522.11","$2,126.76","$2,418.60","$2,640.31","$4,031.00","$1,761.55","$1,801.86","$3,103.87","$3,023.25","$0.00","$3,829.45","$3,426.35","$3,224.80","$3,224.80","$0.00","$2,499.22","$0.00","$0.00","$0.00","$0.00","$2,886.20","$2,712.86","$3,224.80","$0.00","$3,224.80","$3,627.90","$3,426.35","$3,426.35","$0.00","$2,708.83","$0.00"
"UNC Hospital","HC HW CONTROLLER DC ADAPTER","Q0508","$6,927.00","$2,472.94","$6,927.00","$3,879.12","$0.00","$0.00","$4,703.43","$0.00","$2,615.64","$3,654.69","$4,156.20","$4,537.19","$6,927.00","$3,027.10","$3,096.37","$5,333.79","$5,195.25","$0.00","$6,580.65","$5,887.95","$5,541.60","$5,541.60","$0.00","$4,294.74","$0.00","$0.00","$0.00","$0.00","$4,959.73","$4,661.87","$5,541.60","$0.00","$5,541.60","$6,234.30","$5,887.95","$5,887.95","$0.00","$2,472.94","$0.00"
"UNC Hospital","HC HW PATIENT PACK","Q0498","$1,954.00","$528.74","$1,954.00","$0.00","$528.74","$0.00","$1,326.77","$0.00","$737.83","$1,030.93","$1,172.40","$1,279.87","$1,954.00","$853.90","$873.44","$1,504.58","$1,465.50","$0.00","$1,856.30","$1,660.90","$1,563.20","$1,563.20","$0.00","$1,211.48","$0.00","$0.00","$0.00","$0.00","$1,399.06","$1,315.04","$1,563.20","$0.00","$1,563.20","$1,758.60","$1,660.90","$1,660.90","$0.00","$1,313.09","$0.00"
"UNC Hospital","HC HW BATTERY","Q0506","$3,024.00","$879.24","$3,024.00","$0.00","$879.24","$0.00","$2,053.30","$0.00","$1,141.86","$1,595.46","$1,814.40","$1,980.72","$3,024.00","$1,321.49","$1,351.73","$2,328.48","$2,268.00","$0.00","$2,872.80","$2,570.40","$2,419.20","$2,419.20","$0.00","$1,874.88","$0.00","$0.00","$0.00","$0.00","$2,165.18","$2,035.15","$2,419.20","$0.00","$2,419.20","$2,721.60","$2,570.40","$2,570.40","$0.00","$2,032.13","$0.00"
"UNC Hospital","HC HW SHOWER BAG","Q0501","$1,380.00","$521.09","$1,380.00","$0.00","$525.70","$0.00","$937.02","$0.00","$521.09","$728.09","$828.00","$903.90","$1,380.00","$603.06","$616.86","$1,062.60","$1,035.00","$0.00","$1,311.00","$1,173.00","$1,104.00","$1,104.00","$0.00","$855.60","$0.00","$0.00","$0.00","$0.00","$988.08","$928.74","$1,104.00","$0.00","$1,104.00","$1,242.00","$1,173.00","$1,173.00","$0.00","$927.36","$0.00"
"UNC Hospital","HC HW BATTERY CHARGER","Q0489","$14,201.00","$5,069.76","$14,201.00","$7,952.56","$14,201.00","$0.00","$9,642.48","$0.00","$5,362.30","$7,492.45","$8,520.60","$9,301.66","$14,201.00","$6,205.84","$6,347.85","$10,934.77","$10,650.75","$0.00","$13,490.95","$12,070.85","$11,360.80","$11,360.80","$0.00","$8,804.62","$0.00","$0.00","$0.00","$0.00","$10,167.92","$9,557.27","$11,360.80","$0.00","$11,360.80","$12,780.90","$12,070.85","$12,070.85","$0.00","$5,069.76","$0.00"
"UNC Hospital","HC PEDIMAG BLOOD TUBING","","$598.00","$225.80","$598.00","$0.00","$0.00","$0.00","$406.04","$0.00","$225.80","$315.50","$358.80","$391.69","$598.00","$261.33","$267.31","$460.46","$448.50","$0.00","$568.10","$508.30","$478.40","$478.40","$0.00","$370.76","$0.00","$0.00","$0.00","$0.00","$428.17","$402.45","$478.40","$0.00","$478.40","$538.20","$508.30","$508.30","$0.00","$401.86","$0.00"
"UNC Hospital","HC HW MONITOR (HOSP ONLY)","Q0483","$8,108.00","$2,894.56","$8,108.00","$4,540.48","$0.00","$0.00","$5,505.33","$0.00","$3,061.58","$4,277.78","$4,864.80","$5,310.74","$8,108.00","$3,543.20","$3,624.28","$6,243.16","$6,081.00","$0.00","$7,702.60","$6,891.80","$6,486.40","$6,486.40","$0.00","$5,026.96","$0.00","$0.00","$0.00","$0.00","$5,805.33","$5,456.68","$6,486.40","$0.00","$6,486.40","$7,297.20","$6,891.80","$6,891.80","$0.00","$2,894.56","$0.00"
"UNC Hospital","HC HM SHOWER BAG","Q0501","$1,035.00","$390.82","$1,035.00","$0.00","$525.70","$0.00","$702.77","$0.00","$390.82","$546.07","$621.00","$677.93","$1,035.00","$452.30","$462.65","$796.95","$776.25","$0.00","$983.25","$879.75","$828.00","$828.00","$0.00","$641.70","$0.00","$0.00","$0.00","$0.00","$741.06","$696.56","$828.00","$0.00","$828.00","$931.50","$879.75","$879.75","$0.00","$695.52","$0.00"
"UNC Hospital","HC HM CONSOLIDATED BAG LEFT/RIGHT","Q0508","$1,495.00","$564.51","$1,495.00","$0.00","$0.00","$0.00","$1,015.11","$0.00","$564.51","$788.76","$897.00","$979.23","$1,495.00","$653.32","$668.27","$1,151.15","$1,121.25","$0.00","$1,420.25","$1,270.75","$1,196.00","$1,196.00","$0.00","$926.90","$0.00","$0.00","$0.00","$0.00","$1,070.42","$1,006.14","$1,196.00","$0.00","$1,196.00","$1,345.50","$1,270.75","$1,270.75","$0.00","$1,004.64","$0.00"
"UNC Hospital","HC HM TRAVEL BAG","Q0508","$735.00","$277.54","$735.00","$0.00","$0.00","$0.00","$499.07","$0.00","$277.54","$387.79","$441.00","$481.43","$735.00","$321.20","$328.55","$565.95","$551.25","$0.00","$698.25","$624.75","$588.00","$588.00","$0.00","$455.70","$0.00","$0.00","$0.00","$0.00","$526.26","$494.66","$588.00","$0.00","$588.00","$661.50","$624.75","$624.75","$0.00","$493.92","$0.00"
