Facility Name,Charge Description,CPT/HCPCS,Price,Min,Max,Aetna,Aetna Medicare Advantage,Aetna NC Preferred,BCBS,Cash Discount,Cigna,Cigna Wayne Alliance,First Health,Humana Medciare Advantage,Liberty Medicare Advantage,MedCost,TriCare,United Healthcare,United Healthcare Medicare Advantage,WellCare Medicare Advantage
"Wayne Memorial Hospital","HC OT GLOVE EDEMA LEFT LG","","$31.00","$23.68","$28.61","$28.61","$0.00","$24.80","$25.81","$18.60","$26.13","$0.00","$27.28","$0.00","$0.00","$25.73","$0.00","$23.68","$0.00","$0.00"
"Wayne Memorial Hospital","HC OT GLOVE EDEMA LEFT MED","","$31.00","$23.68","$28.61","$28.61","$0.00","$24.80","$25.81","$18.60","$26.13","$0.00","$27.28","$0.00","$0.00","$25.73","$0.00","$23.68","$0.00","$0.00"
"Wayne Memorial Hospital","HC OT GLOVE EDEMA LEFT SMALL","","$31.00","$23.68","$28.61","$28.61","$0.00","$24.80","$25.81","$18.60","$26.13","$0.00","$27.28","$0.00","$0.00","$25.73","$0.00","$23.68","$0.00","$0.00"
"Wayne Memorial Hospital","HC OT GLOVE EDEMA RIGHT LG","","$31.00","$23.68","$28.61","$28.61","$0.00","$24.80","$25.81","$18.60","$26.13","$0.00","$27.28","$0.00","$0.00","$25.73","$0.00","$23.68","$0.00","$0.00"
"Wayne Memorial Hospital","HC OT GLOVE EDEMA RIGHT MED","","$31.00","$23.68","$28.61","$28.61","$0.00","$24.80","$25.81","$18.60","$26.13","$0.00","$27.28","$0.00","$0.00","$25.73","$0.00","$23.68","$0.00","$0.00"
"Wayne Memorial Hospital","HC OT GLOVE EDEMA RIGHT SMALL","","$31.00","$23.68","$28.61","$28.61","$0.00","$24.80","$25.81","$18.60","$26.13","$0.00","$27.28","$0.00","$0.00","$25.73","$0.00","$23.68","$0.00","$0.00"
"Wayne Memorial Hospital","HC OT GLOVE EXERCISE LEFT L/XL","","$91.00","$69.52","$83.99","$83.99","$0.00","$72.80","$75.76","$54.60","$76.71","$0.00","$80.08","$0.00","$0.00","$75.53","$0.00","$69.52","$0.00","$0.00"
"Wayne Memorial Hospital","HC OT HAND EXERCISE SPONGE","","$7.00","$5.35","$6.46","$6.46","$0.00","$5.60","$5.83","$4.20","$5.90","$0.00","$6.16","$0.00","$0.00","$5.81","$0.00","$5.35","$0.00","$0.00"
"Wayne Memorial Hospital","HC OT HIP/KNEE EQUIPMENT PACK DELUXE","","$85.00","$64.94","$78.46","$78.46","$0.00","$68.00","$70.76","$51.00","$71.66","$0.00","$74.80","$0.00","$0.00","$70.55","$0.00","$64.94","$0.00","$0.00"
"Wayne Memorial Hospital","HC OT MASTER PACK GREEN SOFT MED","","$23.00","$17.57","$21.23","$21.23","$0.00","$18.40","$19.15","$13.80","$19.39","$0.00","$20.24","$0.00","$0.00","$19.09","$0.00","$17.57","$0.00","$0.00"
"Wayne Memorial Hospital","HC OT MASTER PACK RED 40Z","","$27.00","$20.63","$24.92","$24.92","$0.00","$21.60","$22.48","$16.20","$22.76","$0.00","$23.76","$0.00","$0.00","$22.41","$0.00","$20.63","$0.00","$0.00"
"Wayne Memorial Hospital","HC OT MASTER PACK YELLOW SOFT 4 OZ","","$27.00","$20.63","$24.92","$24.92","$0.00","$21.60","$22.48","$16.20","$22.76","$0.00","$23.76","$0.00","$0.00","$22.41","$0.00","$20.63","$0.00","$0.00"
"Wayne Memorial Hospital","HC OT PALM PROTECTOR LEFT","","$28.00","$21.39","$25.84","$25.84","$0.00","$22.40","$23.31","$16.80","$23.60","$0.00","$24.64","$0.00","$0.00","$23.24","$0.00","$21.39","$0.00","$0.00"
"Wayne Memorial Hospital","HC OT PALM PROTECTOR RIGHT","","$28.00","$21.39","$25.84","$25.84","$0.00","$22.40","$23.31","$16.80","$23.60","$0.00","$24.64","$0.00","$0.00","$23.24","$0.00","$21.39","$0.00","$0.00"
"Wayne Memorial Hospital","HC OT THERABAND LATEX FREE BLUE 2YD","","$34.00","$25.98","$31.38","$31.38","$0.00","$27.20","$28.31","$20.40","$28.66","$0.00","$29.92","$0.00","$0.00","$28.22","$0.00","$25.98","$0.00","$0.00"
"Wayne Memorial Hospital","HC OT THERABAND LATEX FREE LIME 2YD","","$34.00","$25.98","$31.38","$31.38","$0.00","$27.20","$28.31","$20.40","$28.66","$0.00","$29.92","$0.00","$0.00","$28.22","$0.00","$25.98","$0.00","$0.00"
"Wayne Memorial Hospital","HC OT THERABAND LATEX FREE ORANGE 2YD","","$34.00","$25.98","$31.38","$31.38","$0.00","$27.20","$28.31","$20.40","$28.66","$0.00","$29.92","$0.00","$0.00","$28.22","$0.00","$25.98","$0.00","$0.00"
"Wayne Memorial Hospital","HC OT THERABAND LATEX FREE PEACH 2YD","","$34.00","$25.98","$31.38","$31.38","$0.00","$27.20","$28.31","$20.40","$28.66","$0.00","$29.92","$0.00","$0.00","$28.22","$0.00","$25.98","$0.00","$0.00"
"Wayne Memorial Hospital","HC OT THERAPUTY TAN 40Z","","$18.00","$13.75","$16.61","$16.61","$0.00","$14.40","$14.99","$10.80","$15.17","$0.00","$15.84","$0.00","$0.00","$14.94","$0.00","$13.75","$0.00","$0.00"
"Wayne Memorial Hospital","HC PT GLOVE EXERCISE LEFT SM/MED","","$91.00","$69.52","$83.99","$83.99","$0.00","$72.80","$75.76","$54.60","$76.71","$0.00","$80.08","$0.00","$0.00","$75.53","$0.00","$69.52","$0.00","$0.00"
"Wayne Memorial Hospital","HC PT GLOVE EXERCISE RIGHT SM/MED","","$91.00","$69.52","$83.99","$83.99","$0.00","$72.80","$75.76","$54.60","$76.71","$0.00","$80.08","$0.00","$0.00","$75.53","$0.00","$69.52","$0.00","$0.00"
"Wayne Memorial Hospital","HC PT GLOVE EXERCISE TRACTION DELUXE","","$86.00","$65.70","$79.38","$79.38","$0.00","$68.80","$71.60","$51.60","$72.50","$0.00","$75.68","$0.00","$0.00","$71.38","$0.00","$65.70","$0.00","$0.00"
"Wayne Memorial Hospital","HC PT GLOVE ISOTONER  LEFT MED","","$30.00","$22.92","$27.69","$27.69","$0.00","$24.00","$24.98","$18.00","$25.29","$0.00","$26.40","$0.00","$0.00","$24.90","$0.00","$22.92","$0.00","$0.00"
"Wayne Memorial Hospital","HC PT GLOVE ISOTONER  LEFT SM","","$30.00","$22.92","$27.69","$27.69","$0.00","$24.00","$24.98","$18.00","$25.29","$0.00","$26.40","$0.00","$0.00","$24.90","$0.00","$22.92","$0.00","$0.00"
"Wayne Memorial Hospital","HC PT GLOVE ISOTONER  RIGHT LG","","$30.00","$22.92","$27.69","$27.69","$0.00","$24.00","$24.98","$18.00","$25.29","$0.00","$26.40","$0.00","$0.00","$24.90","$0.00","$22.92","$0.00","$0.00"
"Wayne Memorial Hospital","HC PT GLOVE ISOTONER COMPRESS RIGHT MED","","$30.00","$22.92","$27.69","$27.69","$0.00","$24.00","$24.98","$18.00","$25.29","$0.00","$26.40","$0.00","$0.00","$24.90","$0.00","$22.92","$0.00","$0.00"
"Wayne Memorial Hospital","HC PT GLOVE ISOTONER COMPRESS RIGHT SM","","$30.00","$22.92","$27.69","$27.69","$0.00","$24.00","$24.98","$18.00","$25.29","$0.00","$26.40","$0.00","$0.00","$24.90","$0.00","$22.92","$0.00","$0.00"
"Wayne Memorial Hospital","HC PT GLOVE ISOTONER LEFT LG","","$30.00","$22.92","$27.69","$27.69","$0.00","$24.00","$24.98","$18.00","$25.29","$0.00","$26.40","$0.00","$0.00","$24.90","$0.00","$22.92","$0.00","$0.00"
"Wayne Memorial Hospital","HC PT HAND EXERCISER","","$30.00","$22.92","$27.69","$27.69","$0.00","$24.00","$24.98","$18.00","$25.29","$0.00","$26.40","$0.00","$0.00","$24.90","$0.00","$22.92","$0.00","$0.00"
"Wayne Memorial Hospital","HC PT OUTRIGGER KIT ADJ MCP FLEXION","","$31.00","$23.68","$28.61","$28.61","$0.00","$24.80","$25.81","$18.60","$26.13","$0.00","$27.28","$0.00","$0.00","$25.73","$0.00","$23.68","$0.00","$0.00"
"Wayne Memorial Hospital","HC PT OUTRIGGER PHOENIX EXTENDED","","$233.00","$178.01","$215.06","$215.06","$0.00","$186.40","$193.97","$139.80","$196.42","$0.00","$205.04","$0.00","$0.00","$193.39","$0.00","$178.01","$0.00","$0.00"
"Wayne Memorial Hospital","HC PT PAD KIDNEY GREEN 3.5X2","","$13.00","$9.93","$12.00","$12.00","$0.00","$10.40","$10.82","$7.80","$10.96","$0.00","$11.44","$0.00","$0.00","$10.79","$0.00","$9.93","$0.00","$0.00"
"Wayne Memorial Hospital","HC PT PULLY RANGER MASTER OVERHEAD","","$74.00","$56.54","$68.30","$68.30","$0.00","$59.20","$61.61","$44.40","$62.38","$0.00","$65.12","$0.00","$0.00","$61.42","$0.00","$56.54","$0.00","$0.00"
"Wayne Memorial Hospital","HC PT SPLINT EXT BLACK SHORT","","$66.00","$50.42","$60.92","$60.92","$0.00","$52.80","$54.95","$39.60","$55.64","$0.00","$58.08","$0.00","$0.00","$54.78","$0.00","$50.42","$0.00","$0.00"
"Wayne Memorial Hospital","HC PT SPLINT EXT BLACK XS","","$60.00","$45.84","$55.38","$55.38","$0.00","$48.00","$49.95","$36.00","$50.58","$0.00","$52.80","$0.00","$0.00","$49.80","$0.00","$45.84","$0.00","$0.00"
"Wayne Memorial Hospital","HC PT SPLINT FINGER JOINT JACK LG","","$135.00","$103.14","$124.61","$124.61","$0.00","$108.00","$112.39","$81.00","$113.81","$0.00","$118.80","$0.00","$0.00","$112.05","$0.00","$103.14","$0.00","$0.00"
"Wayne Memorial Hospital","HC PT SPLINT FINGER JOINT JACK MED","","$135.00","$103.14","$124.61","$124.61","$0.00","$108.00","$112.39","$81.00","$113.81","$0.00","$118.80","$0.00","$0.00","$112.05","$0.00","$103.14","$0.00","$0.00"
"Wayne Memorial Hospital","HC PT SPLINT FINGER JOINT JACK SM","","$135.00","$103.14","$124.61","$124.61","$0.00","$108.00","$112.39","$81.00","$113.81","$0.00","$118.80","$0.00","$0.00","$112.05","$0.00","$103.14","$0.00","$0.00"
"Wayne Memorial Hospital","HC PT SPLINT FINGER JOINT JACK XL","","$141.00","$107.72","$130.14","$130.14","$0.00","$112.80","$117.38","$84.60","$118.86","$0.00","$124.08","$0.00","$0.00","$117.03","$0.00","$107.72","$0.00","$0.00"
"Wayne Memorial Hospital","HC PT SPLINT FINGER JOINT JACK XXL","","$141.00","$107.72","$130.14","$130.14","$0.00","$112.80","$117.38","$84.60","$118.86","$0.00","$124.08","$0.00","$0.00","$117.03","$0.00","$107.72","$0.00","$0.00"
"Wayne Memorial Hospital","HC PT SPLINT PIP/DIP FLEXION MED","","$157.00","$119.95","$144.91","$144.91","$0.00","$125.60","$130.70","$94.20","$132.35","$0.00","$138.16","$0.00","$0.00","$130.31","$0.00","$119.95","$0.00","$0.00"
"Wayne Memorial Hospital","HC PT SPLINT PIP/DIP FLEXION SM","","$157.00","$119.95","$144.91","$144.91","$0.00","$125.60","$130.70","$94.20","$132.35","$0.00","$138.16","$0.00","$0.00","$130.31","$0.00","$119.95","$0.00","$0.00"
"Wayne Memorial Hospital","HC BREATHER EX RESP TRAINER","","$151.00","$115.36","$139.37","$139.37","$0.00","$120.80","$125.71","$90.60","$127.29","$0.00","$132.88","$0.00","$0.00","$125.33","$0.00","$115.36","$0.00","$0.00"
"Wayne Memorial Hospital","HC SP Z VIBE TIPS","","$38.00","$29.03","$35.07","$35.07","$0.00","$30.40","$31.64","$22.80","$32.03","$0.00","$33.44","$0.00","$0.00","$31.54","$0.00","$29.03","$0.00","$0.00"
"Wayne Memorial Hospital","HC SP SPEAKING VALVE PURPLE (VALVE SPEAK)","","$348.00","$265.87","$321.20","$321.20","$0.00","$278.40","$289.71","$208.80","$293.36","$0.00","$306.24","$0.00","$0.00","$288.84","$0.00","$265.87","$0.00","$0.00"
"Wayne Memorial Hospital","HC A& A LINE CELL SAVER","","$157.00","$119.95","$144.91","$144.91","$0.00","$125.60","$130.70","$94.20","$132.35","$0.00","$138.16","$0.00","$0.00","$130.31","$0.00","$119.95","$0.00","$0.00"
"Wayne Memorial Hospital","HC RESERVOIR CELL SAVER","","$357.00","$272.75","$329.51","$329.51","$0.00","$285.60","$297.20","$214.20","$300.95","$0.00","$314.16","$0.00","$0.00","$296.31","$0.00","$272.75","$0.00","$0.00"
"Wayne Memorial Hospital","HC CATH PICC TRAY 5FR SOLO 2LUM","C1751","$1,050.00","$802.20","$969.15","$969.15","$0.00","$840.00","$874.13","$630.00","$885.15","$0.00","$924.00","$0.00","$0.00","$871.50","$0.00","$802.20","$0.00","$0.00"
"Wayne Memorial Hospital","HC CATH PICC TRAY 4FR SOLO 1LUM","C1751","$1,013.00","$773.93","$935.00","$935.00","$0.00","$810.40","$843.32","$607.80","$853.96","$0.00","$891.44","$0.00","$0.00","$840.79","$0.00","$773.93","$0.00","$0.00"
"Wayne Memorial Hospital","HC CATH PICC TRAY 4FR SV 2LUM","C1751","$1,046.00","$799.14","$965.46","$965.46","$0.00","$836.80","$870.80","$627.60","$881.78","$0.00","$920.48","$0.00","$0.00","$868.18","$0.00","$799.14","$0.00","$0.00"
"Wayne Memorial Hospital","HC CATH POWERPICC SOLO 5FR 3LUM","C1751","$1,238.00","$945.83","$1,142.67","$1,142.67","$0.00","$990.40","$1,030.64","$742.80","$1,043.63","$0.00","$1,089.44","$0.00","$0.00","$1,027.54","$0.00","$945.83","$0.00","$0.00"
"Wayne Memorial Hospital","HC KIT MIDLINE CATH 4F","C1751","$1,336.00","$1,020.70","$1,233.13","$1,233.13","$0.00","$1,068.80","$1,112.22","$801.60","$1,126.25","$0.00","$1,175.68","$0.00","$0.00","$1,108.88","$0.00","$1,020.70","$0.00","$0.00"
"Wayne Memorial Hospital","HC SPLINT ANTISPASTICITY LEFT MED","L3807","$165.00","$123.75","$152.30","$152.30","$0.00","$132.00","$137.36","$99.00","$139.10","$0.00","$145.20","$0.00","$0.00","$136.95","$123.75","$126.06","$0.00","$0.00"
"Wayne Memorial Hospital","HC SPLINT ANTISPASTICITY LEFT SM","L3807","$165.00","$123.75","$152.30","$152.30","$0.00","$132.00","$137.36","$99.00","$139.10","$0.00","$145.20","$0.00","$0.00","$136.95","$123.75","$126.06","$0.00","$0.00"
"Wayne Memorial Hospital","HC SPLINT ANTISPASTICITY RIGHT LG","L3807","$165.00","$123.75","$152.30","$152.30","$0.00","$132.00","$137.36","$99.00","$139.10","$0.00","$145.20","$0.00","$0.00","$136.95","$123.75","$126.06","$0.00","$0.00"
"Wayne Memorial Hospital","HC SPLINT ANTISPASTICITY RIGHT MED","L3807","$165.00","$123.75","$152.30","$152.30","$0.00","$132.00","$137.36","$99.00","$139.10","$0.00","$145.20","$0.00","$0.00","$136.95","$123.75","$126.06","$0.00","$0.00"
"Wayne Memorial Hospital","HC SPLINT DELUXE HAND  A312-4","L3807","$135.00","$101.25","$124.61","$124.61","$0.00","$108.00","$112.39","$81.00","$113.81","$0.00","$118.80","$0.00","$0.00","$112.05","$101.25","$103.14","$0.00","$0.00"
"Wayne Memorial Hospital","HC SPLINT DELUXE HAND A312-3","L3807","$135.00","$101.25","$124.61","$124.61","$0.00","$108.00","$112.39","$81.00","$113.81","$0.00","$118.80","$0.00","$0.00","$112.05","$101.25","$103.14","$0.00","$0.00"
"Wayne Memorial Hospital","HC SPLINT FUNCTIONAL POS HAND","L3807","$135.00","$101.25","$124.61","$124.61","$0.00","$108.00","$112.39","$81.00","$113.81","$0.00","$118.80","$0.00","$0.00","$112.05","$101.25","$103.14","$0.00","$0.00"
"Wayne Memorial Hospital","HC SPLINT SPF-STRETCH EXT BLK","L3925","$60.00","$45.00","$55.38","$55.38","$0.00","$48.00","$49.95","$36.00","$50.58","$0.00","$52.80","$0.00","$0.00","$49.80","$45.00","$45.84","$0.00","$0.00"
"Wayne Memorial Hospital","HC HEEL LIFT","L3334","$70.00","$53.48","$64.61","$64.61","$0.00","$56.00","$58.28","$42.00","$59.01","$0.00","$61.60","$0.00","$0.00","$58.10","$0.00","$53.48","$0.00","$0.00"
"Wayne Memorial Hospital","HC OUTRIGGER KIT ADJ FOR EXT","L3916","$32.00","$24.45","$29.54","$29.54","$0.00","$25.60","$26.64","$19.20","$26.98","$0.00","$28.16","$0.00","$0.00","$26.56","$0.00","$24.45","$0.00","$0.00"
"Wayne Memorial Hospital","HC REVERSE KNUCKLE BENDER #3","L3925","$84.00","$46.48","$77.53","$77.53","$0.00","$67.20","$69.93","$50.40","$70.81","$0.00","$73.92","$0.00","$0.00","$69.72","$46.48","$64.18","$0.00","$0.00"
"Wayne Memorial Hospital","HC REVERSE KNUCKLE BENDER #4","L3925","$84.00","$46.48","$77.53","$77.53","$0.00","$67.20","$69.93","$50.40","$70.81","$0.00","$73.92","$0.00","$0.00","$69.72","$46.48","$64.18","$0.00","$0.00"
"Wayne Memorial Hospital","HC REVERSE KNUCKLE BENDER #5","L3925","$84.00","$46.48","$77.53","$77.53","$0.00","$67.20","$69.93","$50.40","$70.81","$0.00","$73.92","$0.00","$0.00","$69.72","$46.48","$64.18","$0.00","$0.00"
"Wayne Memorial Hospital","HC REVERSE KNUCKLE BENDER SM","L3925","$84.00","$46.48","$77.53","$77.53","$0.00","$67.20","$69.93","$50.40","$70.81","$0.00","$73.92","$0.00","$0.00","$69.72","$46.48","$64.18","$0.00","$0.00"
"Wayne Memorial Hospital","HC REVERSE KNUCKLE BENDER XS","L3925","$84.00","$46.48","$77.53","$77.53","$0.00","$67.20","$69.93","$50.40","$70.81","$0.00","$73.92","$0.00","$0.00","$69.72","$46.48","$64.18","$0.00","$0.00"
"Wayne Memorial Hospital","HC SPLINT CMC COOL THUMB RIGHT SM","L3923","$114.00","$76.54","$105.22","$105.22","$0.00","$91.20","$94.91","$68.40","$96.10","$0.00","$100.32","$0.00","$0.00","$94.62","$76.54","$87.10","$0.00","$0.00"
"Wayne Memorial Hospital","HC SPLINT CMC LEFT MED","L3923","$113.00","$76.54","$104.30","$104.30","$0.00","$90.40","$94.07","$67.80","$95.26","$0.00","$99.44","$0.00","$0.00","$93.79","$76.54","$86.33","$0.00","$0.00"
"Wayne Memorial Hospital","HC SPLINT CMC LEFT SM","L3923","$114.00","$76.54","$105.22","$105.22","$0.00","$91.20","$94.91","$68.40","$96.10","$0.00","$100.32","$0.00","$0.00","$94.62","$76.54","$87.10","$0.00","$0.00"
"Wayne Memorial Hospital","HC SPLINT CMC RES LEFT LG","L3923","$113.00","$76.54","$104.30","$104.30","$0.00","$90.40","$94.07","$67.80","$95.26","$0.00","$99.44","$0.00","$0.00","$93.79","$76.54","$86.33","$0.00","$0.00"
"Wayne Memorial Hospital","HC SPLINT CMC RES LEFT XL","L3923","$114.00","$76.54","$105.22","$105.22","$0.00","$91.20","$94.91","$68.40","$96.10","$0.00","$100.32","$0.00","$0.00","$94.62","$76.54","$87.10","$0.00","$0.00"
"Wayne Memorial Hospital","HC SPLINT CMC RES RIGHT MED","L3923","$113.00","$76.54","$104.30","$104.30","$0.00","$90.40","$94.07","$67.80","$95.26","$0.00","$99.44","$0.00","$0.00","$93.79","$76.54","$86.33","$0.00","$0.00"
"Wayne Memorial Hospital","HC SPLINT CMC RES RIGHT XL","L3923","$114.00","$76.54","$105.22","$105.22","$0.00","$91.20","$94.91","$68.40","$96.10","$0.00","$100.32","$0.00","$0.00","$94.62","$76.54","$87.10","$0.00","$0.00"
"Wayne Memorial Hospital","HC SPLINT CMC RIGHT LG","L3923","$113.00","$76.54","$104.30","$104.30","$0.00","$90.40","$94.07","$67.80","$95.26","$0.00","$99.44","$0.00","$0.00","$93.79","$76.54","$86.33","$0.00","$0.00"
"Wayne Memorial Hospital","HC SPLINT PIP SHORT EXTENSION LG","L3925","$66.00","$46.48","$60.92","$60.92","$0.00","$52.80","$54.95","$39.60","$55.64","$0.00","$58.08","$0.00","$0.00","$54.78","$46.48","$50.42","$0.00","$0.00"
"Wayne Memorial Hospital","HC SPLINT PIP SHORT EXTENSION MED","L3925","$66.00","$46.48","$60.92","$60.92","$0.00","$52.80","$54.95","$39.60","$55.64","$0.00","$58.08","$0.00","$0.00","$54.78","$46.48","$50.42","$0.00","$0.00"
"Wayne Memorial Hospital","HC SPLINT PIP SHORT EXTENSION SM","L3925","$66.00","$46.48","$60.92","$60.92","$0.00","$52.80","$54.95","$39.60","$55.64","$0.00","$58.08","$0.00","$0.00","$54.78","$46.48","$50.42","$0.00","$0.00"
"Wayne Memorial Hospital","HC SPLINT PIP SHORT EXTENSION XL","L3925","$66.00","$46.48","$60.92","$60.92","$0.00","$52.80","$54.95","$39.60","$55.64","$0.00","$58.08","$0.00","$0.00","$54.78","$46.48","$50.42","$0.00","$0.00"
"Wayne Memorial Hospital","HC SPLINT SOF STRETCH EXT LG","L3925","$60.00","$45.00","$55.38","$55.38","$0.00","$48.00","$49.95","$36.00","$50.58","$0.00","$52.80","$0.00","$0.00","$49.80","$45.00","$45.84","$0.00","$0.00"
"Wayne Memorial Hospital","HC SPLINT SOF STRETCH EXT MED","L3925","$60.00","$45.00","$55.38","$55.38","$0.00","$48.00","$49.95","$36.00","$50.58","$0.00","$52.80","$0.00","$0.00","$49.80","$45.00","$45.84","$0.00","$0.00"
"Wayne Memorial Hospital","HC SPLINT SOF STRETCH EXT SM","L3925","$60.00","$45.00","$55.38","$55.38","$0.00","$48.00","$49.95","$36.00","$50.58","$0.00","$52.80","$0.00","$0.00","$49.80","$45.00","$45.84","$0.00","$0.00"
"Wayne Memorial Hospital","HC TISSUE MARKER","A4648","$375.00","$286.50","$346.13","$346.13","$0.00","$300.00","$312.19","$225.00","$316.13","$0.00","$330.00","$0.00","$0.00","$311.25","$0.00","$286.50","$0.00","$0.00"
"Wayne Memorial Hospital","HC THERAPEUTIC PHLEBOTOMY","99195","$543.00","$96.21","$501.19","$501.19","$101.27","$434.40","$431.41","$325.80","$457.75","$0.00","$477.84","$105.65","$106.33","$450.69","$96.21","$414.85","$101.27","$103.30"
"Wayne Memorial Hospital","HC HYDRATION IV INITIAL 31MIN-1HR","96360","$417.00","$176.81","$384.89","$384.89","$186.11","$333.60","$314.84","$250.20","$351.53","$0.00","$366.96","$186.11","$0.00","$346.11","$176.81","$318.59","$186.11","$189.83"
"Wayne Memorial Hospital","HC HYDRATION IV EACH ADDTL HR","96361","$112.00","$36.67","$103.38","$103.38","$38.60","$89.60","$84.56","$67.20","$94.42","$0.00","$98.56","$38.60","$0.00","$92.96","$36.67","$85.57","$38.60","$39.37"
"Wayne Memorial Hospital","HC IV INFUSION INITIAL UP TO 1HR","96365","$501.00","$176.81","$462.42","$462.42","$186.11","$400.80","$378.26","$300.60","$422.34","$0.00","$440.88","$186.11","$0.00","$415.83","$176.81","$382.76","$186.11","$189.83"
"Wayne Memorial Hospital","HC IV INFUSION EACH ADDTL HR","96366","$139.00","$36.67","$128.30","$128.30","$38.60","$111.20","$104.95","$83.40","$117.18","$0.00","$122.32","$38.60","$0.00","$115.37","$36.67","$106.20","$38.60","$39.37"
"Wayne Memorial Hospital","HC IV INFUSION SEQUENTIAL UPTO1HR","96367","$216.00","$58.19","$199.37","$199.37","$61.25","$172.80","$163.08","$129.60","$182.09","$0.00","$190.08","$61.25","$0.00","$179.28","$58.19","$165.02","$61.25","$62.48"
"Wayne Memorial Hospital","HC IV INFUSION CONCURRENT","96368","$396.00","$298.98","$365.51","$365.51","$0.00","$316.80","$298.98","$237.60","$333.83","$0.00","$348.48","$0.00","$0.00","$328.68","$0.00","$302.54","$0.00","$0.00"
