Facility Name,Charge Description,CPT/HCPCS,Price,Min,Max,Aetna,Aetna NBD,BCBS,Cash Discount,Cigna,First Health,MedCost,TriCare,United,BCBS Note,TriCare Note
"Lenoir Memorial Hospital","ANES FOREARM WRT HD NERV/MU/TE","1810","$3.00","$2.05","$3.00","$2.67","$2.79","$2.05","$1.80","$2.60","$2.67","$2.70","$3.00","$2.55","",""
"Lenoir Memorial Hospital","ANES FOREARM WRT HD NERV/MU/TE","1810","$10.00","$6.84","$10.00","$8.90","$9.30","$6.84","$6.00","$8.67","$8.90","$9.00","$10.00","$8.50","",""
"Lenoir Memorial Hospital","ANES FOREARM WRT HD RAD/UL CL","1820","$3.00","$2.05","$3.00","$2.67","$2.79","$2.05","$1.80","$2.60","$2.67","$2.70","$3.00","$2.55","",""
"Lenoir Memorial Hospital","ANES FOREARM WRT HD RAD/UL CL","1820","$8.00","$5.48","$8.00","$7.12","$7.44","$5.48","$4.80","$6.94","$7.12","$7.20","$8.00","$6.80","",""
"Lenoir Memorial Hospital","ANES FOREARM WRT HD RAD/ULNA O","1830","$3.00","$2.05","$3.00","$2.67","$2.79","$2.05","$1.80","$2.60","$2.67","$2.70","$3.00","$2.55","",""
"Lenoir Memorial Hospital","ANES FOREARM WRT HD RAD/ULNA O","1830","$9.00","$6.16","$9.00","$8.01","$8.37","$6.16","$5.40","$7.80","$8.01","$8.10","$9.00","$7.65","",""
"Lenoir Memorial Hospital","ANES HEAD EAR EXT/MID/INNER","120","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES HEAD EAR EXT/MID/INNER","120","$8.00","$5.48","$8.00","$7.12","$7.44","$5.48","$4.80","$6.94","$7.12","$7.20","$8.00","$6.80","",""
"Lenoir Memorial Hospital","ANES HEAD EYE PROCEDURES","140","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES HEAD EYE PROCEDURES","140","$9.00","$6.16","$9.00","$8.01","$8.37","$6.16","$5.40","$7.80","$8.01","$8.10","$9.00","$7.65","",""
"Lenoir Memorial Hospital","ANES HEAD FACIAL BONES","190","$3.00","$2.05","$3.00","$2.67","$2.79","$2.05","$1.80","$2.60","$2.67","$2.70","$3.00","$2.55","",""
"Lenoir Memorial Hospital","ANES HEAD FACIAL BONES","190","$10.00","$6.84","$10.00","$8.90","$9.30","$6.84","$6.00","$8.67","$8.90","$9.00","$10.00","$8.50","",""
"Lenoir Memorial Hospital","ANES HEAD INTEG + SAL GLAND","100","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES HEAD INTEG + SAL GLAND","100","$9.00","$6.16","$9.00","$8.01","$8.37","$6.16","$5.40","$7.80","$8.01","$8.10","$9.00","$7.65","",""
"Lenoir Memorial Hospital","ANES HEAD INTRA PROC INCL BIOP","170","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES HEAD INTRA PROC INCL BIOP","170","$11.00","$7.53","$11.00","$9.79","$10.23","$7.53","$6.60","$9.54","$9.79","$9.90","$11.00","$9.35","",""
"Lenoir Memorial Hospital","ANES HEAD LENS SURGERY","142","$3.00","$2.05","$3.00","$2.67","$2.79","$2.05","$1.80","$2.60","$2.67","$2.70","$3.00","$2.55","",""
"Lenoir Memorial Hospital","ANES HEAD LENS SURGERY","142","$13.00","$8.90","$13.00","$11.57","$12.09","$8.90","$7.80","$11.27","$11.57","$11.70","$13.00","$11.05","",""
"Lenoir Memorial Hospital","ANES HEAD NOSE SINUSES","142","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES HEAD NOSE SINUSES","142","$13.00","$8.90","$13.00","$11.57","$12.09","$8.90","$7.80","$11.27","$11.57","$11.70","$13.00","$11.05","",""
"Lenoir Memorial Hospital","ANES INTRA CARDIO DEFIBRILL","534","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES INTRA CARDIO DEFIBRILL","534","$7.00","$4.79","$7.00","$6.23","$6.51","$4.79","$4.20","$6.07","$6.23","$6.30","$7.00","$5.95","",""
"Lenoir Memorial Hospital","ANES INTRA CHEST CLOSED PROC","520","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES INTRA CHEST CLOSED PROC","520","$8.00","$5.48","$8.00","$7.12","$7.44","$5.48","$4.80","$6.94","$7.12","$7.20","$8.00","$6.80","",""
"Lenoir Memorial Hospital","ANES INTRA HEART GT VESSELS","560","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES INTRA HEART GT VESSELS","560","$9.00","$6.16","$9.00","$8.01","$8.37","$6.16","$5.40","$7.80","$8.01","$8.10","$9.00","$7.65","",""
"Lenoir Memorial Hospital","ANES INTRA MEDIASTINOSCOPY","528","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES INTRA MEDIASTINOSCOPY","528","$7.00","$4.79","$7.00","$6.23","$6.51","$4.79","$4.20","$6.07","$6.23","$6.30","$7.00","$5.95","",""
"Lenoir Memorial Hospital","ANES INTRA PACEMAKER INSERT","530","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES INTRA PACEMAKER INSERT","530","$6.00","$4.11","$6.00","$5.34","$5.58","$4.11","$3.60","$5.20","$5.34","$5.40","$6.00","$5.10","",""
"Lenoir Memorial Hospital","ANES INTRA PLEURECTOMY","542","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES INTRA PLEURECTOMY","542","$7.00","$4.79","$7.00","$6.23","$6.51","$4.79","$4.20","$6.07","$6.23","$6.30","$7.00","$5.95","",""
"Lenoir Memorial Hospital","ANES INTRA THORACOTOMY PROC","540","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES INTRA THORACOTOMY PROC","540","$11.00","$7.53","$11.00","$9.79","$10.23","$7.53","$6.60","$9.54","$9.79","$9.90","$11.00","$9.35","",""
"Lenoir Memorial Hospital","ANES INTRA VENOUS CIRCUL","532","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES INTRA VENOUS CIRCUL","532","$12.00","$8.21","$12.00","$10.68","$11.16","$8.21","$7.20","$10.40","$10.68","$10.80","$12.00","$10.20","",""
"Lenoir Memorial Hospital","ANES KNEE ARTHROSCOPIC PROC","1382","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES KNEE ARTHROSCOPIC PROC","1382","$7.00","$4.79","$7.00","$6.23","$6.51","$4.79","$4.20","$6.07","$6.23","$6.30","$7.00","$5.95","",""
"Lenoir Memorial Hospital","ANES KNEE CLOSE PROC KNEE JT","1380","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES KNEE CLOSE PROC KNEE JT","1380","$7.00","$4.79","$7.00","$6.23","$6.51","$4.79","$4.20","$6.07","$6.23","$6.30","$7.00","$5.95","",""
"Lenoir Memorial Hospital","ANES KNEE CLOSE TIB FIB PATELL","1390","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES KNEE CLOSE TIB FIB PATELL","1390","$7.00","$4.79","$7.00","$6.23","$6.51","$4.79","$4.20","$6.07","$6.23","$6.30","$7.00","$5.95","",""
"Lenoir Memorial Hospital","ANES KNEE OPEN PROC KNEE JOINT","1400","$3.00","$2.05","$3.00","$2.67","$2.79","$2.05","$1.80","$2.60","$2.67","$2.70","$3.00","$2.55","",""
"Lenoir Memorial Hospital","ANES KNEE OPEN PROC KNEE JOINT","1400","$15.00","$10.27","$15.00","$13.35","$13.95","$10.27","$9.00","$13.00","$13.35","$13.50","$15.00","$12.75","",""
"Lenoir Memorial Hospital","ANES KNEE OPEN TIB FIB PATELLA","1392","$3.00","$2.05","$3.00","$2.67","$2.79","$2.05","$1.80","$2.60","$2.67","$2.70","$3.00","$2.55","",""
"Lenoir Memorial Hospital","ANES KNEE OPEN TIB FIB PATELLA","1392","$9.00","$6.16","$9.00","$8.01","$8.37","$6.16","$5.40","$7.80","$8.01","$8.10","$9.00","$7.65","",""
"Lenoir Memorial Hospital","ANES KNEE PROC NERV/MUS/TEN","1320","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES KNEE PROC NERV/MUS/TEN","1320","$8.00","$5.48","$8.00","$7.12","$7.44","$5.48","$4.80","$6.94","$7.12","$7.20","$8.00","$6.80","",""
"Lenoir Memorial Hospital","ANES KNEE PROC VEINS","1430","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES KNEE PROC VEINS","1430","$6.00","$4.11","$6.00","$5.34","$5.58","$4.11","$3.60","$5.20","$5.34","$5.40","$6.00","$5.10","",""
"Lenoir Memorial Hospital","ANES KNEE TOTAL REPLACEMENT","1402","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES KNEE TOTAL REPLACEMENT","1402","$10.00","$6.84","$10.00","$8.90","$9.30","$6.84","$6.00","$8.67","$8.90","$9.00","$10.00","$8.50","",""
"Lenoir Memorial Hospital","ANES LEG LOW ARTHROS ANKLE JT","1464","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES LEG LOW ARTHROS ANKLE JT","1464","$6.00","$4.11","$6.00","$5.34","$5.58","$4.11","$3.60","$5.20","$5.34","$5.40","$6.00","$5.10","",""
"Lenoir Memorial Hospital","ANES LEG LOW CAST APPLY REMOVE","1490","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES LEG LOW CAST APPLY REMOVE","1490","$6.00","$4.11","$6.00","$5.34","$5.58","$4.11","$3.60","$5.20","$5.34","$5.40","$6.00","$5.10","",""
"Lenoir Memorial Hospital","ANES LEG LOW CLOSED LEG ANK FT","1462","$3.00","$2.05","$3.00","$2.67","$2.79","$2.05","$1.80","$2.60","$2.67","$2.70","$3.00","$2.55","",""
"Lenoir Memorial Hospital","ANES LEG LOW CLOSED LEG ANK FT","1462","$9.00","$6.16","$9.00","$8.01","$8.37","$6.16","$5.40","$7.80","$8.01","$8.10","$9.00","$7.65","",""
"Lenoir Memorial Hospital","ANES LEG LOW OPEN PROC BONES","1480","$3.00","$2.05","$3.00","$2.67","$2.79","$2.05","$1.80","$2.60","$2.67","$2.70","$3.00","$2.55","",""
"Lenoir Memorial Hospital","ANES LEG LOW OPEN PROC BONES","1480","$17.00","$11.63","$17.00","$15.13","$15.81","$11.63","$10.20","$14.74","$15.13","$15.30","$17.00","$14.45","",""
"Lenoir Memorial Hospital","ANES LEG LOW PROC ARTERIES","1500","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES LEG LOW PROC ARTERIES","1500","$7.00","$4.79","$7.00","$6.23","$6.51","$4.79","$4.20","$6.07","$6.23","$6.30","$7.00","$5.95","",""
"Lenoir Memorial Hospital","ANES LEG LOW PROC INTEG SYS","400","$8.00","$5.48","$8.00","$7.12","$7.44","$5.48","$4.80","$6.94","$7.12","$7.20","$8.00","$6.80","",""
"Lenoir Memorial Hospital","ANES LEG LOW PROC INTEG SYS","400","$15.00","$10.27","$15.00","$13.35","$13.95","$10.27","$9.00","$13.00","$13.35","$13.50","$15.00","$12.75","",""
"Lenoir Memorial Hospital","ANES LEG LOW PROC NERVE MUS T","1470","$3.00","$2.05","$3.00","$2.67","$2.79","$2.05","$1.80","$2.60","$2.67","$2.70","$3.00","$2.55","",""
"Lenoir Memorial Hospital","ANES LEG LOW PROC NERVE MUS T","1470","$9.00","$6.16","$9.00","$8.01","$8.37","$6.16","$5.40","$7.80","$8.01","$8.10","$9.00","$7.65","",""
"Lenoir Memorial Hospital","ANES LEG LOW PROC VEINS","1520","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES LEG LOW PROC VEINS","1520","$8.00","$5.48","$8.00","$7.12","$7.44","$5.48","$4.80","$6.94","$7.12","$7.20","$8.00","$6.80","",""
"Lenoir Memorial Hospital","ANES LEG UPP AMPUTATION","1232","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES LEG UPP AMPUTATION","1232","$7.00","$4.79","$7.00","$6.23","$6.51","$4.79","$4.20","$6.07","$6.23","$6.30","$7.00","$5.95","",""
"Lenoir Memorial Hospital","ANES LEG UPP CLOSE PROC FEMUR","1220","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES LEG UPP CLOSE PROC FEMUR","1220","$9.00","$6.16","$9.00","$8.01","$8.37","$6.16","$5.40","$7.80","$8.01","$8.10","$9.00","$7.65","",""
"Lenoir Memorial Hospital","ANES LEG UPP CLOSE PROC H JOI","1200","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES LEG UPP CLOSE PROC H JOI","1200","$8.00","$5.48","$8.00","$7.12","$7.44","$5.48","$4.80","$6.94","$7.12","$7.20","$8.00","$6.80","",""
"Lenoir Memorial Hospital","ANES LEG UPP OPEN PROC FEMUR","1230","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES LEG UPP OPEN PROC FEMUR","1230","$9.00","$6.16","$9.00","$8.01","$8.37","$6.16","$5.40","$7.80","$8.01","$8.10","$9.00","$7.65","",""
"Lenoir Memorial Hospital","ANES LEG UPP OPEN PROC HIP JT","1210","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES LEG UPP OPEN PROC HIP JT","1210","$8.00","$5.48","$8.00","$7.12","$7.44","$5.48","$4.80","$6.94","$7.12","$7.20","$8.00","$6.80","",""
"Lenoir Memorial Hospital","ANES LEG UPP PROC ARTERIES","1270","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES LEG UPP PROC ARTERIES","1270","$9.00","$6.16","$9.00","$8.01","$8.37","$6.16","$5.40","$7.80","$8.01","$8.10","$9.00","$7.65","",""
"Lenoir Memorial Hospital","ANES LEG UPP PROC INTEG SYS","400","$8.00","$5.48","$8.00","$7.12","$7.44","$5.48","$4.80","$6.94","$7.12","$7.20","$8.00","$6.80","",""
"Lenoir Memorial Hospital","ANES LEG UPP PROC INTEG SYS","400","$15.00","$10.27","$15.00","$13.35","$13.95","$10.27","$9.00","$13.00","$13.35","$13.50","$15.00","$12.75","",""
"Lenoir Memorial Hospital","ANES LEG UPP PROC NERV MUS TEN","1250","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES LEG UPP PROC NERV MUS TEN","1250","$8.00","$5.48","$8.00","$7.12","$7.44","$5.48","$4.80","$6.94","$7.12","$7.20","$8.00","$6.80","",""
"Lenoir Memorial Hospital","ANES LEG UPP PROC VEINS","1260","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES LEG UPP PROC VEINS","1260","$8.00","$5.48","$8.00","$7.12","$7.44","$5.48","$4.80","$6.94","$7.12","$7.20","$8.00","$6.80","",""
"Lenoir Memorial Hospital","ANES MISC SUPP ORGAN HARVEST","1990","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES MISC SUPP ORGAN HARVEST","1990","$7.00","$4.79","$7.00","$6.23","$6.51","$4.79","$4.20","$6.07","$6.23","$6.30","$7.00","$5.95","",""
"Lenoir Memorial Hospital","ANES MISC UNL ANES PROCEDURE","1999","$2.00","$1.37","$2.00","$1.78","$1.86","$1.37","$1.20","$1.73","$1.78","$1.80","$2.00","$1.70","",""
"Lenoir Memorial Hospital","ANES MISC UNL ANES PROCEDURE","1999","$6.00","$4.11","$6.00","$5.34","$5.58","$4.11","$3.60","$5.20","$5.34","$5.40","$6.00","$5.10","",""
