Facility Name,Charge Description,CPT/HCPCS,Price,Min,Max,Aetna,Aetna HMO,Aetna Medicare Advantage,BCBS,Blue Home,Blue Home UNC Health Alliance,Cash Discount,Cigna,Cigna Connect Network,Cigna SureFit,First Carolina Care,Galaxy,Health Payors,Humana,Humana Alignment Medicare Advanatge,Humana Medicare Advantage,Liberty Medicare Advantage,MedCost,MedCost Ultra,OneNet,TriCare,United Healthcare,United Healthcare Compass,United Healthcare Medicare Advantage,WellCare Medicare Advantage
"Rex Hospital","HC REX HOSPICE PRIVATE ROOM","","$698.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$418.80","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Rex Hospital","HC REX MED SURG SEMI PRIVATE ROOM","","$698.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$418.80","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Rex Hospital","HC REX CONTINUED NEONATAL CARE PRIVATE ROOM","","$638.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$382.80","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Rex Hospital","HC REX LEVEL 1 NURSERY","","$998.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$598.80","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Rex Hospital","HC REX LABOR CARE TIME LESS THAN 2 HRS","","$395.00","$97.45","$395.00","$288.35","$288.35","$0.00","$201.09","$143.90","$97.45","$237.00","$0.00","$171.04","$171.04","$237.00","$375.25","$335.75","$229.10","$0.00","$0.00","$0.00","$244.90","$205.40","$233.05","$0.00","$395.00","$395.00","$0.00","$0.00"
"Rex Hospital","HC REX LABOR CARE 2-4 HRS","","$979.00","$241.52","$979.00","$714.67","$714.67","$0.00","$498.41","$356.65","$241.52","$587.40","$0.00","$423.91","$423.91","$587.40","$930.05","$832.15","$567.82","$0.00","$0.00","$0.00","$606.98","$509.08","$577.61","$0.00","$811.00","$979.00","$0.00","$0.00"
"Rex Hospital","HC REX LABOR CARE 4-8 HRS","","$1,467.00","$361.91","$1,467.00","$1,070.91","$1,070.91","$0.00","$746.85","$534.43","$361.91","$880.20","$0.00","$635.21","$635.21","$880.20","$1,393.65","$1,246.95","$850.86","$0.00","$0.00","$0.00","$909.54","$762.84","$865.53","$0.00","$811.00","$1,467.00","$0.00","$0.00"
"Rex Hospital","HC REX LABOR CARE 8-12 HRS","","$2,201.00","$542.99","$2,201.00","$1,606.73","$1,606.73","$0.00","$1,120.53","$801.82","$542.99","$1,320.60","$0.00","$953.03","$953.03","$1,320.60","$2,090.95","$1,870.85","$1,276.58","$0.00","$0.00","$0.00","$1,364.62","$1,144.52","$1,298.59","$0.00","$811.00","$2,201.00","$0.00","$0.00"
"Rex Hospital","HC REX LABOR CARE 12-16 HRS","","$2,642.00","$651.78","$2,642.00","$1,928.66","$1,928.66","$0.00","$1,345.04","$962.48","$651.78","$1,585.20","$0.00","$1,143.99","$1,143.99","$1,585.20","$2,509.90","$2,245.70","$1,532.36","$0.00","$0.00","$0.00","$1,638.04","$1,373.84","$1,558.78","$0.00","$811.00","$2,642.00","$0.00","$0.00"
"Rex Hospital","HC REX LABOR CARE 16-20 HRS","","$3,170.00","$782.04","$3,170.00","$2,314.10","$2,314.10","$0.00","$1,613.85","$1,154.83","$782.04","$1,902.00","$0.00","$1,372.61","$1,372.61","$1,902.00","$3,011.50","$2,694.50","$1,838.60","$0.00","$0.00","$0.00","$1,965.40","$1,648.40","$1,870.30","$0.00","$811.00","$3,170.00","$0.00","$0.00"
"Rex Hospital","HC REX LABOR CARE 20-24 HRS","","$3,804.00","$811.00","$3,804.00","$2,776.92","$2,776.92","$0.00","$1,936.62","$1,385.80","$938.45","$2,282.40","$0.00","$1,647.13","$1,647.13","$2,282.40","$3,613.80","$3,233.40","$2,206.32","$0.00","$0.00","$0.00","$2,358.48","$1,978.08","$2,244.36","$0.00","$811.00","$3,804.00","$0.00","$0.00"
"Rex Hospital","HC REX LABOR CARE 24-36 HRS","","$4,854.00","$811.00","$4,854.00","$3,543.42","$3,543.42","$0.00","$2,471.17","$1,768.31","$1,197.48","$2,912.40","$0.00","$2,101.78","$2,101.78","$2,912.40","$4,611.30","$4,125.90","$2,815.32","$0.00","$0.00","$0.00","$3,009.48","$2,524.08","$2,863.86","$0.00","$811.00","$4,854.00","$0.00","$0.00"
"Rex Hospital","HC REX LABOR CARE 36-48 HRS","","$6,429.00","$811.00","$6,429.00","$4,693.17","$4,693.17","$0.00","$3,273.00","$2,342.08","$1,586.03","$3,857.40","$0.00","$2,783.76","$2,783.76","$3,857.40","$6,107.55","$5,464.65","$3,728.82","$0.00","$0.00","$0.00","$3,985.98","$3,343.08","$3,793.11","$0.00","$811.00","$6,429.00","$0.00","$0.00"
"Rex Hospital","HC REX LABOR CARE > 48 HRS","","$7,217.00","$811.00","$7,217.00","$5,268.41","$5,268.41","$0.00","$3,674.17","$2,629.15","$1,780.43","$4,330.20","$0.00","$3,124.96","$3,124.96","$4,330.20","$6,856.15","$6,134.45","$4,185.86","$0.00","$0.00","$0.00","$4,474.54","$3,752.84","$4,258.03","$0.00","$811.00","$7,217.00","$0.00","$0.00"
"Rex Hospital","HC REX LEVEL 2 NURSERY ROOM","","$2,100.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$1,260.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Rex Hospital","HC REX LEVEL 3 (INTERMEDIATE) NURSERY ROOM","","$3,150.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$1,890.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Rex Hospital","HC REX LEVEL 4 (INTENSIVE) NURSERY ROOM","","$4,725.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$2,835.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Rex Hospital","HC REX ICU ROOM","","$2,983.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$1,789.80","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Rex Hospital","HC REX INTENSIVE CARE LESS THAN 6 HRS","","$1,573.00","$388.06","$1,573.00","$1,148.29","$1,148.29","$0.00","$800.81","$573.04","$388.06","$943.80","$0.00","$681.11","$681.11","$943.80","$1,494.35","$1,337.05","$912.34","$0.00","$0.00","$0.00","$975.26","$817.96","$928.07","$0.00","$811.00","$1,573.00","$0.00","$0.00"
"Rex Hospital","HC REX INTENSIVE CARE 6-12 HRS","","$2,310.00","$569.88","$2,310.00","$1,686.30","$1,686.30","$0.00","$1,176.02","$841.53","$569.88","$1,386.00","$0.00","$1,000.23","$1,000.23","$1,386.00","$2,194.50","$1,963.50","$1,339.80","$0.00","$0.00","$0.00","$1,432.20","$1,201.20","$1,362.90","$0.00","$811.00","$2,310.00","$0.00","$0.00"
"Rex Hospital","HC REX INTENSIVE CARE 13-24 HRS","","$4,200.00","$811.00","$4,200.00","$3,066.00","$3,066.00","$0.00","$2,138.22","$1,530.06","$1,036.14","$2,520.00","$0.00","$1,818.60","$1,818.60","$2,520.00","$3,990.00","$3,570.00","$2,436.00","$0.00","$0.00","$0.00","$2,604.00","$2,184.00","$2,478.00","$0.00","$811.00","$4,200.00","$0.00","$0.00"
"Rex Hospital","HC REX INTENSIVE CARE SEMI PRIVATE ROOM","","$2,305.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$1,383.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Rex Hospital","HC REX INTENSIVE CARE 24-36 HRS","","$5,964.00","$811.00","$5,964.00","$4,353.72","$4,353.72","$0.00","$3,036.27","$2,172.69","$1,471.32","$3,578.40","$0.00","$2,582.41","$2,582.41","$3,578.40","$5,665.80","$5,069.40","$3,459.12","$0.00","$0.00","$0.00","$3,697.68","$3,101.28","$3,518.76","$0.00","$811.00","$5,964.00","$0.00","$0.00"
"Rex Hospital","HC REX INTENSIVE CARE 36-48 HRS","","$7,728.00","$811.00","$7,728.00","$5,641.44","$5,641.44","$0.00","$3,934.32","$2,815.31","$1,906.50","$4,636.80","$0.00","$3,346.22","$3,346.22","$4,636.80","$7,341.60","$6,568.80","$4,482.24","$0.00","$0.00","$0.00","$4,791.36","$4,018.56","$4,559.52","$0.00","$811.00","$7,728.00","$0.00","$0.00"
"Rex Hospital","HC REX INTENSIVE CARE > 48 HRS","","$8,610.00","$811.00","$8,610.00","$6,285.30","$6,285.30","$0.00","$4,383.35","$3,136.62","$2,124.09","$5,166.00","$0.00","$3,728.13","$3,728.13","$5,166.00","$8,179.50","$7,318.50","$4,993.80","$0.00","$0.00","$0.00","$5,338.20","$4,477.20","$5,079.90","$0.00","$811.00","$8,610.00","$0.00","$0.00"
"Rex Hospital","HC REX INTERMEDIATE CARE ROOM","","$1,260.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$756.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Rex Hospital","HC REX INTERMEDIATE CARE SEMI PRIVATE ROOM","","$1,260.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$756.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"Rex Hospital","HC REX BEDSIDE PROCEDURE","","$305.00","$77.65","$305.00","$222.65","$222.65","$0.00","$160.22","$114.68","$77.65","$183.00","$0.00","$132.07","$132.07","$183.00","$289.75","$259.25","$176.90","$0.00","$0.00","$0.00","$189.10","$158.60","$179.95","$0.00","$254.07","$305.00","$0.00","$0.00"
"Rex Hospital","HC REX OBSERVATION CARE PER HOUR","G0378","$28.00","$7.13","$28.00","$28.00","$28.00","$0.00","$14.71","$10.53","$7.13","$16.80","$18.03","$12.12","$12.15","$28.00","$26.60","$23.80","$16.24","$0.00","$0.00","$0.00","$17.36","$14.56","$16.52","$0.00","$28.00","$28.00","$0.00","$0.00"
"Rex Hospital","HC REX INTERMEDIATE OBSERVATION CARE PER HOUR","G0378","$53.00","$13.49","$53.00","$53.00","$53.00","$0.00","$27.84","$19.93","$13.49","$31.80","$34.13","$22.95","$23.00","$53.00","$50.35","$45.05","$30.74","$0.00","$0.00","$0.00","$32.86","$27.56","$31.27","$0.00","$53.00","$53.00","$0.00","$0.00"
"Rex Hospital","HC REX INTENSIVE OBSERVATION CARE PER HOUR","G0378","$96.00","$24.44","$96.00","$96.00","$96.00","$0.00","$50.43","$36.10","$24.44","$57.60","$61.82","$41.57","$41.66","$96.00","$91.20","$81.60","$55.68","$0.00","$0.00","$0.00","$59.52","$49.92","$56.64","$0.00","$96.00","$96.00","$0.00","$0.00"
"Rex Hospital","HC REX SPECIAL CARE NURSERY OBSERVATION CARE PER HOUR","G0378","$78.00","$19.86","$78.00","$78.00","$78.00","$0.00","$40.97","$29.33","$19.86","$46.80","$50.23","$33.77","$33.85","$78.00","$74.10","$66.30","$45.24","$0.00","$0.00","$0.00","$48.36","$40.56","$46.02","$0.00","$78.00","$78.00","$0.00","$0.00"
"Rex Hospital","HC REX OBSERVATION DIRECT ADMISSION","G0379","$77.00","$19.60","$516.83","$77.00","$77.00","$502.06","$40.45","$28.95","$19.60","$46.20","$49.59","$33.34","$33.42","$77.00","$73.15","$65.45","$44.66","$77.00","$77.00","$516.83","$47.74","$40.04","$45.43","$492.22","$77.00","$77.00","$77.00","$502.06"
"Rex Hospital","HC REX MONITORING AND NURSING CARE","","$28.00","$7.13","$28.00","$28.00","$28.00","$0.00","$14.71","$10.53","$7.13","$16.80","$18.03","$12.12","$0.00","$28.00","$26.60","$23.80","$16.24","$0.00","$0.00","$0.00","$17.36","$14.56","$16.52","$0.00","$28.00","$28.00","$0.00","$0.00"
"Rex Hospital","HC REX INTERMEDIATE MONITORING AND NURSING CARE","","$53.00","$13.49","$53.00","$53.00","$53.00","$0.00","$27.84","$19.93","$13.49","$31.80","$34.13","$22.95","$0.00","$53.00","$50.35","$45.05","$30.74","$0.00","$0.00","$0.00","$32.86","$27.56","$31.27","$0.00","$53.00","$53.00","$0.00","$0.00"
"Rex Hospital","HC REX INTENSIVE MONITORING AND NURSING CARE","","$124.00","$31.57","$124.00","$124.00","$124.00","$0.00","$65.14","$46.62","$31.57","$74.40","$79.86","$53.69","$0.00","$124.00","$117.80","$105.40","$71.92","$0.00","$0.00","$0.00","$76.88","$64.48","$73.16","$0.00","$124.00","$124.00","$0.00","$0.00"
"Rex Hospital","HC REX SPECIAL CARE NURSERY MONITORING AND NURSING CARE","","$53.00","$13.49","$53.00","$53.00","$53.00","$0.00","$27.84","$19.93","$13.49","$31.80","$34.13","$22.95","$0.00","$53.00","$50.35","$45.05","$30.74","$0.00","$0.00","$0.00","$32.86","$27.56","$31.27","$0.00","$53.00","$53.00","$0.00","$0.00"
"Rex Hospital","HC H.O.L.D BELT","","$160.00","$45.38","$160.00","$116.80","$116.80","$0.00","$93.62","$66.99","$45.38","$96.00","$0.00","$69.28","$69.28","$96.00","$152.00","$136.00","$92.80","$0.00","$0.00","$0.00","$99.20","$83.20","$94.40","$0.00","$133.28","$160.00","$0.00","$0.00"
"Rex Hospital","HC MEDGUARD","","$108.00","$30.63","$108.00","$78.84","$78.84","$0.00","$63.19","$45.22","$30.63","$64.80","$0.00","$46.76","$46.76","$64.80","$102.60","$91.80","$62.64","$0.00","$0.00","$0.00","$66.96","$56.16","$63.72","$0.00","$89.96","$108.00","$0.00","$0.00"
"Rex Hospital","HC PICC LINE","","$633.00","$179.52","$633.00","$462.09","$462.09","$0.00","$370.37","$265.04","$179.52","$379.80","$0.00","$274.09","$274.09","$379.80","$601.35","$538.05","$367.14","$0.00","$0.00","$0.00","$392.46","$329.16","$373.47","$0.00","$527.29","$633.00","$0.00","$0.00"
"Rex Hospital","HC PREEMIE NEST SET","","$173.00","$49.06","$173.00","$126.29","$126.29","$0.00","$101.22","$72.44","$49.06","$103.80","$0.00","$74.91","$74.91","$103.80","$164.35","$147.05","$100.34","$0.00","$0.00","$0.00","$107.26","$89.96","$102.07","$0.00","$144.11","$173.00","$0.00","$0.00"
"Rex Hospital","HC MULTIFUNCTION DEFIB PAD","","$177.00","$50.20","$177.00","$129.21","$129.21","$0.00","$103.56","$74.11","$50.20","$106.20","$0.00","$76.64","$76.64","$106.20","$168.15","$150.45","$102.66","$0.00","$0.00","$0.00","$109.74","$92.04","$104.43","$0.00","$147.44","$177.00","$0.00","$0.00"
"Rex Hospital","HC AEROSOL THERAPY SUPPLY PER DAY","","$117.00","$33.18","$117.00","$85.41","$85.41","$0.00","$68.46","$48.99","$33.18","$70.20","$0.00","$50.66","$50.66","$70.20","$111.15","$99.45","$67.86","$0.00","$0.00","$0.00","$72.54","$60.84","$69.03","$0.00","$97.46","$117.00","$0.00","$0.00"
"Rex Hospital","HC DISPOSABLE NEBULIZER SUPPLY","","$26.00","$7.37","$26.00","$18.98","$18.98","$0.00","$15.21","$10.89","$7.37","$15.60","$0.00","$11.26","$11.26","$15.60","$24.70","$22.10","$15.08","$0.00","$0.00","$0.00","$16.12","$13.52","$15.34","$0.00","$21.66","$26.00","$0.00","$0.00"
"Rex Hospital","HC FETAL BLOOD SAMPLING -B/C","","$41.00","$11.63","$41.00","$29.93","$29.93","$0.00","$23.99","$17.17","$11.63","$24.60","$0.00","$17.75","$17.75","$24.60","$38.95","$34.85","$23.78","$0.00","$0.00","$0.00","$25.42","$21.32","$24.19","$0.00","$34.15","$41.00","$0.00","$0.00"
"Rex Hospital","HC INFANT HOOD,INITIAL","","$143.00","$40.55","$143.00","$104.39","$104.39","$0.00","$83.67","$59.87","$40.55","$85.80","$0.00","$61.92","$61.92","$85.80","$135.85","$121.55","$82.94","$0.00","$0.00","$0.00","$88.66","$74.36","$84.37","$0.00","$119.12","$143.00","$0.00","$0.00"
"Rex Hospital","HC SURGICAL ABSORBABLE HEMOSTAT","","$81.00","$22.97","$81.00","$59.13","$59.13","$0.00","$47.39","$33.91","$22.97","$48.60","$0.00","$35.07","$35.07","$48.60","$76.95","$68.85","$46.98","$0.00","$0.00","$0.00","$50.22","$42.12","$47.79","$0.00","$67.47","$81.00","$0.00","$0.00"
"Rex Hospital","HC ARISTA 3GM","","$1,035.00","$293.53","$1,035.00","$755.55","$755.55","$0.00","$605.58","$433.35","$293.53","$621.00","$0.00","$448.16","$448.16","$621.00","$983.25","$879.75","$600.30","$0.00","$0.00","$0.00","$641.70","$538.20","$610.65","$0.00","$862.16","$1,035.00","$0.00","$0.00"
"Rex Hospital","HC CATHETER ON Q 5"","","$360.00","$102.10","$360.00","$262.80","$262.80","$0.00","$210.64","$150.73","$102.10","$216.00","$0.00","$155.88","$155.88","$216.00","$342.00","$306.00","$208.80","$0.00","$0.00","$0.00","$223.20","$187.20","$212.40","$0.00","$299.88","$360.00","$0.00","$0.00"
"Rex Hospital","HC REX SHEATH INTRODUCER PERCUTANEOUS","","$158.00","$44.81","$158.00","$115.34","$115.34","$0.00","$92.45","$66.15","$44.81","$94.80","$0.00","$68.41","$68.41","$94.80","$150.10","$134.30","$91.64","$0.00","$0.00","$0.00","$97.96","$82.16","$93.22","$0.00","$131.61","$158.00","$0.00","$0.00"
"Rex Hospital","HC REX TRI-CLOSE/THORACIC TRAY","","$524.00","$148.61","$524.00","$382.52","$382.52","$0.00","$306.59","$219.40","$148.61","$314.40","$0.00","$226.89","$226.89","$314.40","$497.80","$445.40","$303.92","$0.00","$0.00","$0.00","$324.88","$272.48","$309.16","$0.00","$436.49","$524.00","$0.00","$0.00"
"Rex Hospital","HC REX VENTRICULAR PACING LEAD","","$597.00","$169.31","$597.00","$435.81","$435.81","$0.00","$349.30","$249.96","$169.31","$358.20","$0.00","$258.50","$258.50","$358.20","$567.15","$507.45","$346.26","$0.00","$0.00","$0.00","$370.14","$310.44","$352.23","$0.00","$497.30","$597.00","$0.00","$0.00"
"Rex Hospital","HC REX POWERGLIDE 10CM CATH SYSTEM","","$480.00","$136.13","$480.00","$350.40","$350.40","$0.00","$280.85","$200.98","$136.13","$288.00","$0.00","$207.84","$207.84","$288.00","$456.00","$408.00","$278.40","$0.00","$0.00","$0.00","$297.60","$249.60","$283.20","$0.00","$399.84","$480.00","$0.00","$0.00"
"Rex Hospital","HC REX POWERGLIDE 10CM CATHETER","","$300.00","$85.08","$300.00","$219.00","$219.00","$0.00","$175.53","$125.61","$85.08","$180.00","$0.00","$129.90","$129.90","$180.00","$285.00","$255.00","$174.00","$0.00","$0.00","$0.00","$186.00","$156.00","$177.00","$0.00","$249.90","$300.00","$0.00","$0.00"
"Rex Hospital","HC REX POWERGLIDE 8CM CATH SYSTEM","","$480.00","$136.13","$480.00","$350.40","$350.40","$0.00","$280.85","$200.98","$136.13","$288.00","$0.00","$207.84","$207.84","$288.00","$456.00","$408.00","$278.40","$0.00","$0.00","$0.00","$297.60","$249.60","$283.20","$0.00","$399.84","$480.00","$0.00","$0.00"
"Rex Hospital","HC REX POWERGLIDE 8CM CATHETER","","$300.00","$85.08","$300.00","$219.00","$219.00","$0.00","$175.53","$125.61","$85.08","$180.00","$0.00","$129.90","$129.90","$180.00","$285.00","$255.00","$174.00","$0.00","$0.00","$0.00","$186.00","$156.00","$177.00","$0.00","$249.90","$300.00","$0.00","$0.00"
"Rex Hospital","HC REX PLEURX PLEURAL CATHETER KIT","C1729","$600.00","$170.16","$600.00","$0.00","$0.00","$0.00","$351.06","$251.22","$170.16","$360.00","$0.00","$259.80","$259.80","$360.00","$570.00","$510.00","$348.00","$0.00","$0.00","$0.00","$372.00","$312.00","$354.00","$0.00","$499.80","$600.00","$0.00","$0.00"
"Rex Hospital","HC REX OPTI-Q SO2 CCO PA CATHETER HEP","C1751","$746.00","$211.57","$746.00","$544.58","$544.58","$0.00","$436.48","$312.35","$211.57","$447.60","$480.42","$323.02","$323.02","$447.60","$708.70","$634.10","$432.68","$0.00","$0.00","$0.00","$462.52","$387.92","$440.14","$0.00","$621.42","$746.00","$0.00","$0.00"
"Rex Hospital","HC REX TRANSFORAMINAL SUPPLIES","","$34.00","$9.64","$34.00","$24.82","$24.82","$0.00","$19.89","$14.24","$9.64","$20.40","$0.00","$14.72","$14.72","$20.40","$32.30","$28.90","$19.72","$0.00","$0.00","$0.00","$21.08","$17.68","$20.06","$0.00","$28.32","$34.00","$0.00","$0.00"
"Rex Hospital","HC REX CANNULA RF CERVICAL/LUMBAR TIP","","$90.00","$25.52","$90.00","$65.70","$65.70","$0.00","$52.66","$37.68","$25.52","$54.00","$0.00","$38.97","$38.97","$54.00","$85.50","$76.50","$52.20","$0.00","$0.00","$0.00","$55.80","$46.80","$53.10","$0.00","$74.97","$90.00","$0.00","$0.00"
"Rex Hospital","HC REX REFILL SYNCHROMED SUPPLIES","","$240.00","$68.06","$240.00","$175.20","$175.20","$0.00","$140.42","$100.49","$68.06","$144.00","$0.00","$103.92","$103.92","$144.00","$228.00","$204.00","$139.20","$0.00","$0.00","$0.00","$148.80","$124.80","$141.60","$0.00","$199.92","$240.00","$0.00","$0.00"
